compound,target,cnn_score,status
CHEMBL43,IRF8_AF2_DBD,0.666771412,ok
CHEMBL1257073,IRF8_AF2_DBD,0.873699665,ok
CHEMBL231068,IRF8_AF2_DBD,0.58895725,ok
CHEMBL3894860,IRF8_AF2_DBD,0.510741174,ok
CHEMBL175691,IRF8_AF2_DBD,0.684009194,ok
CHEMBL2105762,IRF8_AF2_DBD,0.575733006,ok
CHEMBL1289926,IRF8_AF2_DBD,0.727328598,ok
CHEMBL1466,IKZF1_8RQC,0.705068231,ok
CHEMBL473417,IRF8_AF2_DBD,0.744205058,ok
CHEMBL494753,IKZF1_8RQC,0.964388728,ok
CHEMBL1257073,IKZF1_8RQC,0.950230777,ok
CHEMBL4297528,IKZF1_8RQC,0.948750615,ok
CHEMBL406,IKZF1_8RQC,0.693276167,ok
CHEMBL521686,IRF8_AF2_DBD,0.708601832,ok
CHEMBL3137320,IKZF1_8RQC,0.990650415,ok
CHEMBL779,IKZF1_8RQC,0.881797433,ok
CHEMBL1201288,IKZF1_8RQC,0.99224925,ok
CHEMBL1643,IKZF1_8RQC,0.938821435,ok
CHEMBL713,IKZF1_8RQC,0.641877174,ok
CHEMBL3889654,IRF8_AF2_DBD,0.698863029,ok
CHEMBL1229211,IKZF1_8RQC,0.998351097,ok
CHEMBL572,IKZF1_8RQC,0.846473873,ok
CHEMBL1096,IKZF1_8RQC,0.988102317,ok
CHEMBL869,IKZF1_8RQC,0.887688339,ok
CHEMBL1201754,IKZF1_8RQC,0.944374144,ok
CHEMBL473417,IKZF1_8RQC,0.993563414,ok
CHEMBL2338329,IKZF1_8RQC,0.762984931,ok
CHEMBL3989866,IKZF1_8RQC,0.989033103,ok
CHEMBL898,IKZF1_8RQC,0.817189455,ok
CHEMBL2403238,IKZF1_8RQC,0.716629028,ok
CHEMBL1200430,IKZF1_8RQC,0.989573896,ok
CHEMBL4585668,IKZF1_8RQC,0.627115965,ok
CHEMBL2043437,IKZF1_8RQC,0.965449452,ok
CHEMBL1256841,IKZF1_8RQC,0.761497378,ok
CHEMBL170988,IKZF1_8RQC,0.849318862,ok
CHEMBL408513,IKZF1_8RQC,0.854998291,ok
CHEMBL118,IKZF1_8RQC,0.991427779,ok
CHEMBL1297,IKZF1_8RQC,0.84639585,ok
CHEMBL256997,IKZF1_8RQC,0.711154222,ok
CHEMBL527,IKZF1_8RQC,0.997108877,ok
CHEMBL865,IKZF1_8RQC,0.937979102,ok
CHEMBL396778,IKZF1_8RQC,0.862442195,ok
CHEMBL278819,IKZF1_8RQC,0.760676146,ok
CHEMBL973,IKZF1_8RQC,0.860069871,ok
CHEMBL902,IKZF1_8RQC,0.838313103,ok
CHEMBL1200845,IKZF1_8RQC,0.818053544,ok
CHEMBL1200538,IKZF1_8RQC,0.938792944,ok
CHEMBL340978,IKZF1_8RQC,0.995534897,ok
CHEMBL1091,IKZF1_8RQC,0.965325475,ok
CHEMBL1684,IKZF1_8RQC,0.996321678,ok
CHEMBL2105762,IKZF1_8RQC,0.929503441,ok
CHEMBL685,IKZF1_8RQC,0.538917243,ok
CHEMBL1243,IKZF1_8RQC,0.848585665,ok
CHEMBL426084,IKZF1_8RQC,0.968871295,ok
CHEMBL490,IKZF1_8RQC,0.760754466,ok
CHEMBL416956,IKZF1_8RQC,0.956356108,ok
CHEMBL3646221,IKZF1_8RQC,0.818992674,ok
CHEMBL1503,IKZF1_8RQC,0.598229766,ok
CHEMBL1201320,IKZF1_8RQC,0.568246663,ok
CHEMBL1551,IKZF1_8RQC,0.979363084,ok
