gene
TREM2
APOE
SPP1
LPL
GPNMB
CD9
LGALS3
IKZF1
IRF8
PPARG
SPI1
RUNX1
CEBPB
CST7
CTSL
CTSD
FTL
FTH1
AXL
MYO1E
TMEM119
P2RY12
CX3CR1
