molecule_chembl_id,smiles,pref_name,mw,alogp,hbd,hba,tpsa,cns_mpo
CHEMBL62193,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,SULFADIMETHOXINE,310.34,0.88,2,7,116.43,4.0
CHEMBL61006,CC(N)C(O)c1ccccc1,PHENYLPROPANOLAMINE,151.21,1.07,2,2,46.25,4.5
CHEMBL962,CCCCC[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)[O-])O[C@H]2C[C@H]1O.[Na+],EPOPROSTENOL SODIUM,352.47,3.41,3,4,86.99,3.5
CHEMBL963,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,OXYMORPHONE,301.34,0.75,2,5,70.0,3.5
CHEMBL965,C[N+](C)(C)CCOC(N)=O,CARBAMOYLCHOLINE,147.2,-0.21,1,2,52.32,4.5
CHEMBL967,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,TEMAZEPAM,300.75,2.47,1,3,52.9,4.5
CHEMBL971,CCCC(C)C1(CC)C(=O)N=C([O-])NC1=O.[Na+],PENTOBARBITAL SODIUM,226.28,1.18,2,3,75.27,4.5
CHEMBL973,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,TERIFLUNOMIDE,270.21,3.0,2,3,73.12,4.5
CHEMBL975,O=S(=O)([O-])CCS.[Na+],MESNA,142.2,-0.2,2,3,54.37,4.5
CHEMBL977,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)O,HYDROCORTISONE HEMISUCCINATE ANHYDROUS,462.54,2.2,3,7,138.2,3.0
CHEMBL979,CCCC(C)(COC(N)=O)COC(N)=O,MEPROBAMATE,218.25,0.98,2,4,104.64,4.0
CHEMBL980,COc1ccccc1OCC(O)CO,GUAIFENESIN,198.22,0.43,2,4,58.92,4.5
