glue_id,smiles,vina_ontarget_8rqc,vina_drd2,vina_htr2a,vina_herg,herg_liability_prob,herg_predicted_active,si_drd2,si_htr2a,si_herg,min_si,selective,herg_clean,passes_selectivity_gate
GLUE0692,Cc1cccc(C(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c1,-6.415,-10.437,-10.425,-9.441,0.3892727793879256,0,0.0011334807654402362,0.001156651634777098,0.00607929356884434,0.0011334807654402362,False,True,False
GLUE0597,Cc1cccc(C(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c1C,-6.549,-10.585,-10.546,-9.245,0.4331585203081046,0,0.001107034094961277,0.0011822882288195292,0.010605586720284502,0.001107034094961277,False,True,False
GLUE1187,CC(CC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2)C(C)(C)C,-6.067,-10.226,-9.934,-8.231,0.4333500120851913,0,0.000899662625812024,0.001472079491125642,0.026010859717794547,0.000899662625812024,False,True,False
GLUE0004,O=C1CCC(N2Cc3cccc(NC(=O)Oc4ccccc4)c3C2=O)C(=O)N1,-6.15,-10.141,-10.31,-9.006,0.4794212172311844,0,0.0011943113958492832,0.0008981467666497828,0.00809758937071412,0.0008981467666497828,False,True,False
GLUE0092,O=C1CCC(N2Cc3cccc(NC(=O)OC4CCCCC4)c3C2=O)C(=O)N1,-6.342,-10.121,-10.577,-9.017,0.4606164733121946,0,0.0017075745935967977,0.0007914430653490679,0.010987893379380616,0.0007914430653490679,False,True,False
GLUE0231,Cc1ccccc1C(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,-6.9,-10.352,-11.233,-9.669,0.4629450812590564,0,0.00296390420350933,0.0006708842117405019,0.009377170307964292,0.0006708842117405019,False,True,False
GLUE0090,O=C1CCC(N2Cc3cccc(NC(=O)CC4CCCCC4)c3C2=O)C(=O)N1,-6.242,-9.914,-10.599,-9.009,0.4844678239627736,0,0.0020452344858521696,0.0006442741832957152,0.009408849907302801,0.0006442741832957152,False,True,False
GLUE1229,Cc1ccc(C(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)cc1C,-6.627,-11.155,-10.448,-8.89,0.425953257509901,0,0.0004828761180465295,0.0015908169518107855,0.022011530040735264,0.0004828761180465295,False,True,False
GLUE2407,Cc1ccc(C)c(C(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c1,-6.521,-11.098,-10.209,-8.865,0.4610149662701725,0,0.0004445797460189366,0.0019907889066455957,0.01920120076505471,0.0004445797460189366,False,True,False
GLUE0235,Cc1ccccc1OC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,-6.214,-9.999,-10.901,-9.556,0.4537091358835456,0,0.0016903843912543176,0.0003693083657117114,0.003567998725079669,0.0003693083657117114,False,True,False
GLUE0425,Cc1ccc(C(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c(C)c1,-6.28,-11.071,-9.735,-8.665,0.4505294225453401,0,0.00030990089345926664,0.0029489476119296774,0.017918484804499594,0.00030990089345926664,False,True,False
GLUE0696,Cc1cccc(OC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c1,-6.689,-11.59,-11.221,-9.237,0.4572723147878608,0,0.0002574318635090625,0.0004796299043100102,0.013612103037254518,0.0002574318635090625,False,True,False
GLUE0250,Cc1ccc(OC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)cc1,-6.627,-11.637,-11.072,-9.677,0.4088302853022914,0,0.00021420723783217635,0.0005554210137863473,0.0058381637703483185,0.00021420723783217635,False,True,False
GLUE0103,Cc1cccc(C)c1C(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,-6.355,-11.401,-9.711,-9.009,0.4208411273835929,0,0.00020158995013621394,0.003484749243104666,0.011383981301639654,0.00020158995013621394,False,True,False
