tier,target,chembl_id,drug_name,vina_score,cnn_score,cnn_affinity_pKd,composite_score,dG_GBSA_kcal_mol,promiscuous,mw,alogp,cns_mpo
Tier1,IRF8 (AF2-DBD),CHEMBL1568698,GANAXOLONE,-6.59,0.772,4.51,0.727,-0.23,,332.53,4.99,3.5
Tier1,IRF8 (AF2-DBD),CHEMBL490,PAROXETINE,-6.68,0.748,5.2,0.716,-7.1,,329.37,3.33,3.5
Tier1,IRF8 (AF2-DBD),CHEMBL2103837,TAFAMIDIS,-6.71,0.741,5.07,0.713,-9.5,,308.12,4.5,4.0
Tier1,IRF8 (AF2-DBD),CHEMBL42,CHLORPROMAZINE,-6.7,0.74,4.68,0.712,-6.9,,,,
Tier1,IRF8 (AF2-DBD),CHEMBL646,HALOPERIDOL,-6.54,0.74,5.26,0.706,-5.41,,,,
Tier1,MAF (4EOT-bZIP),CHEMBL982,NALMEFENE,-4.78,0.757,4.33,0.645,0.0,,339.44,2.51,4.5
Tier1,MAF (4EOT-bZIP),CHEMBL1256841,NIALAMIDE,-4.54,0.773,4.03,0.645,-0.0,,298.35,1.02,4.5
Tier1,PPARG (1FM9-LBD),CHEMBL898,DIFLUNISAL,-8.77,0.955,5.98,0.924,-2.8,,250.2,3.04,4.0
Tier1,PPARG (1FM9-LBD),CHEMBL1201203,ROSIGLITAZONE,-8.73,0.945,6.68,0.916,-0.0,,,,
Tier1,PPARG (1FM9-LBD),CHEMBL1256841,NIALAMIDE,-8.66,0.945,6.05,0.913,0.15,,298.35,1.02,4.5
Tier1,PPARG (1FM9-LBD),CHEMBL294199,CAPSAICIN,-8.18,0.945,6.07,0.894,0.01,,305.42,3.79,3.5
Tier1,PPARG (1FM9-LBD),CHEMBL282052,NAPROXEN,-9.12,0.863,6.15,0.882,0.04,,,,
Tier1,PPARG (1FM9-LBD),CHEMBL439849,VILAZODONE,-8.68,0.888,6.45,0.88,-0.0,,441.54,4.03,3.0
Tier1,PPARG (1FM9-LBD),CHEMBL490,PAROXETINE,-9.82,0.775,5.44,0.858,-0.0,,329.37,3.33,3.5
Tier1,PPARG (1FM9-LBD),CHEMBL41355,EZOGABINE,-8.25,0.873,6.31,0.853,0.37,,303.34,3.59,4.0
Tier1,PPARG (1FM9-LBD),CHEMBL108,CARBAMAZEPINE,-8.21,0.87,6.15,0.851,-0.0,,236.27,3.39,3.0
Tier1,PPARG (1FM9-LBD),CHEMBL53,APOMORPHINE,-8.06,0.824,5.91,0.817,-0.91,,267.33,2.85,3.5
Tier2,BHLHE41 (AF2-bHLH),CHEMBL1086,DIBUCAINE,-6.0,0.805,5.55,0.723,-21.89,,343.47,3.49,3.5
Tier2,BHLHE41 (AF2-bHLH),CHEMBL1201168,ISOCARBOXAZID,-6.14,0.766,4.0,0.706,-6.24,,231.25,1.42,4.5
Tier2,BHLHE41 (AF2-bHLH),CHEMBL285674,SULINDAC,-5.95,0.733,5.29,0.678,-13.46,,,,
Tier2,BHLHE41 (AF2-bHLH),CHEMBL982,NALMEFENE,-6.04,0.715,4.65,0.671,-11.47,,339.44,2.51,4.5
Tier2,RUNX1 (1LJM-Runt),CHEMBL898,DIFLUNISAL,-5.72,0.811,4.16,0.716,-0.0,,250.2,3.04,4.0
Tier2,RUNX1 (1LJM-Runt),CHEMBL396778,SAFINAMIDE,-5.55,0.785,4.78,0.693,0.01,,302.35,2.37,4.5
Tier2,RUNX1 (1LJM-Runt),CHEMBL16,PHENYTOIN,-5.66,0.761,4.31,0.683,0.01,,252.27,1.77,4.5
Tier2,RUNX1 (1LJM-Runt),CHEMBL1089318,TORASEMIDE,-5.79,0.744,5.39,0.678,-0.0,⚠,,,
Tier2,RUNX1 (1LJM-Runt),CHEMBL53,APOMORPHINE,-5.83,0.736,4.16,0.674,-0.0,,267.33,2.85,3.5
PROTAC-track,IKZF1 (8RQC-CRBN glue),CHEMBL1501,FLUOCINONIDE,-7.67,0.841,,,,,494.53,2.94,3.5
PROTAC-track,IKZF1 (8RQC-CRBN glue),CHEMBL1201173,MEDRYSONE,-7.63,0.811,,,,,344.5,3.94,4.0
PROTAC-track,IKZF1 (8RQC-CRBN glue),CHEMBL635,PREDNISONE,-7.57,0.721,,,,,358.43,1.77,4.0
PROTAC-track,IKZF1 (8RQC-CRBN glue),CHEMBL1108,DROPERIDOL,-7.41,0.706,,,,,379.44,3.68,3.5
PROTAC-track,IKZF1 (8RQC-CRBN glue),CHEMBL416956,MEFLOQUINE,-7.34,0.739,,,,,378.32,4.45,3.5
PROTAC-track,IKZF1 (8RQC-CRBN glue),CHEMBL4297528,RISDIPLAM,-7.28,0.949,,,-6.49,✗ non-sel,401.47,1.96,4.0
PROTAC-track,IKZF1 (8RQC-CRBN glue),CHEMBL3261331,RESMETIROM,-7.28,0.785,,,,,435.23,2.1,3.0
PROTAC-track,IKZF1 (8RQC-CRBN glue),CHEMBL1200975,CLOCORTOLONE PIVALATE,-7.24,0.724,,,,,495.03,4.6,3.5
PROTAC-track,IKZF1 (8RQC-CRBN glue),CHEMBL3188267,CAPMATINIB,-7.23,0.728,,,-14.03,✗ non-sel,412.43,3.43,3.5
PROTAC-track,IKZF1 (8RQC-CRBN glue),CHEMBL1091,HYDROCORTISONE ACETATE,-7.22,0.753,,,,,404.5,2.35,3.5
PROTAC-track,IKZF1 (8RQC-CRBN glue),CHEMBL2368925,DOLASETRON,-7.17,0.78,,,,,324.38,2.52,4.5
