entrez_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
23060,1046.5570348470735,0.41396578761176045,0.061313340828559194,6.751642986952343,1.4618022224800457e-11,3.0232993565332303e-07
22801,69.15661973083955,1.0343129860824,0.15786126744427434,6.552037765992958,5.6757182526185286e-11,5.86926024503282e-07
100130557,178.5512919525012,0.4551739090171167,0.0723963767715394,6.287247087703089,3.2314484522693515e-10,1.5023230699999543e-06
23235,711.3772581759259,0.6832985831751187,0.10872479739548255,6.284661820887508,3.2856813298149464e-10,1.5023230699999543e-06
9923,719.9655588664665,0.48849332873720813,0.07817758476389812,6.248508830408267,4.1438980078502376e-10,1.5023230699999543e-06
5894,1649.2560096304637,0.2286667855427361,0.03673415532876609,6.224909311135564,4.81834638634035e-10,1.5023230699999543e-06
4790,408.3225013071974,0.5886422639984014,0.09471649239100365,6.214781070738973,5.139625787408848e-10,1.5023230699999543e-06
161176,89.90711759246419,1.1099095604570801,0.17933621511219486,6.188987315042349,6.055195524182146e-10,1.5023230699999543e-06
9640,872.2134988066853,0.4359990294015987,0.07070057102027504,6.166838868621949,6.966868538303794e-10,1.5023230699999543e-06
7852,349.2736576988913,1.197729429236695,0.19450080068743525,6.157966573934358,7.368490263783666e-10,1.5023230699999543e-06
522,2105.8375977521223,-0.4641564409964473,0.07553252654346765,-6.145120019642576,7.990307402572042e-10,1.5023230699999543e-06
7704,335.30988312822166,0.9310167354070954,0.15284911147598537,6.091083725752442,1.1214887464202463e-09,1.9328858544552945e-06
2922,16.617780499667795,-1.4294879652713823,0.2357951467971749,-6.062414704832717,1.3409292435506978e-09,2.109729011778622e-06
28972,1148.1304349739078,-0.4401073899800291,0.07271763519459912,-6.05227863643064,1.4281116992989418e-09,2.109729011778622e-06
101928358,39.1197678502637,1.028041178769705,0.1709125461390649,6.015012952491081,1.798723174610336e-09,2.4800795131527314e-06
4711,1381.71599682741,-0.44517551926631777,0.0744791657424874,-5.977181871310393,2.2703069468379227e-09,2.93465551715637e-06
144203,12.623797454046631,-1.4979015834248697,0.2520732102388977,-5.94232755636849,2.8100319951185387e-09,3.4186518660612715e-06
4694,1812.1898229258188,-0.4057678963396823,0.06856880144964371,-5.917675207399892,3.2652395324249465e-09,3.6726423656514624e-06
102725367,5.384772071252989,-1.3449796157965825,0.22807657670383494,-5.897052802327367,3.700514710726001e-09,3.6726423656514624e-06
6539,1461.7606051843127,0.7941988473486891,0.1346991724941753,5.8960929948031575,3.722092560093083e-09,3.6726423656514624e-06
5686,818.7052687483247,-0.4356515730906668,0.07393970384372428,-5.8919842850796496,3.815854734362519e-09,3.6726423656514624e-06
102723895,14.992719554974746,-1.321805895345639,0.2244878088350065,-5.888096561702986,3.9066885235631064e-09,3.6726423656514624e-06
147138,256.01359315744173,0.8326723514192458,0.1422137492042238,5.855076292401939,4.7679109150310155e-09,4.229220864005409e-06
79709,967.4120984228407,0.5700608703154302,0.09744178004763185,5.850271516353365,4.907712055706885e-09,4.229220864005409e-06
11149,263.4425934638535,0.8840520838981946,0.15154500236800436,5.833594444450279,5.424587910076531e-09,4.349448922732866e-06
25994,3241.9935075938743,-0.4235492696217958,0.07264539696186166,-5.830366235649538,5.5305857703690425e-09,4.349448922732866e-06
101929544,80.45905215874323,-0.8536437557402938,0.14652384767177445,-5.825971466791716,5.678131752914969e-09,4.349448922732866e-06
219988,638.8569070679354,0.32024828181647186,0.05505330879662392,5.817057844779543,5.9892420775510686e-09,4.423910880282543e-06
23013,2357.265500257553,0.46066117452638644,0.07934326436499604,5.805926668295952,6.401097517659742e-09,4.563504263326961e-06
140876,303.8925934174408,1.0160416480509105,0.1751704513673456,5.800302734393227,6.619530408075082e-09,4.563504263326961e-06
79834,1703.091817541075,0.4480464608153498,0.07777360440002927,5.76090647041146,8.366339330223582e-09,5.58169774282852e-06
9509,54.37971989664697,0.918014895517562,0.16012881801905612,5.732977404531355,9.868278417013797e-09,6.37799169439623e-06
57553,2687.7277959261187,0.3658419918976859,0.063880350998814,5.7269878167150035,1.0222950731712683e-08,6.407002031311567e-06
26355,720.310519319474,-0.40874181814605864,0.07143716505400675,-5.721697072343903,1.0546522932001097e-08,6.415387861166079e-06
