state,dUMAP1,dUMAP2,magnitude
Homeostatic,0.005243718322832882,-0.0084662170824372,0.009958584916350552
DAM,-0.001594083512141906,-0.0014614765541472487,0.00216264096927918
LateAD_DAM,0.013263245565050541,-0.0002588387362032892,0.013265771007001145
DAM_IRM,-0.003954348090249911,-0.0032310954729349913,0.005106549399945536
IRM,0.0008970915973642672,-0.0011238781386395268,0.0014380109194903285
LAM,0.003275033869077033,0.007819703875701845,0.008477830827945797
