Supertype,Braak 0,Braak II,Braak III,Braak IV,Braak V,Braak VI
Monocyte,2.380952380952381,0.0,14.285714285714285,19.047619047619047,28.57142857142857,35.714285714285715
Micro-PVM_1,2.7310658743203944,3.616133518776078,9.103552914401316,18.991022885320522,37.008471361739794,28.5497534454419
Micro-PVM_2,1.42161304938831,8.596227911191663,6.651421613049388,27.833314454009965,39.73082804712279,15.766594925237879
Micro-PVM_2_1-SEAAD,6.378600823045268,4.801097393689986,20.16460905349794,15.294924554183813,13.511659807956104,39.84910836762688
Micro-PVM_2_3-SEAAD,7.237758989129425,6.723032611725355,8.581250580693116,20.981139087614977,31.914893617021278,24.56192511381585
Micro-PVM_3-SEAAD,1.1608790471397417,3.821506458647878,6.34457305821171,19.667840966280824,39.62086898171448,29.384331488005365
Micro-PVM_4-SEAAD,1.697792869269949,4.018109790605546,35.20090548953028,10.639501980758348,25.749858517260893,22.693831352574986
Lymphocyte,3.776861298024745,4.558280876926416,7.5320164966355545,16.279574560451486,45.821575862817454,22.031690905144348
