"term","estimate","se","ci_lo","ci_hi","gene","region_dropped","n_obs","is_singular","sig_positive"
"stateDAM",0.570454961950522,0.0195488715126594,0.532139877847308,0.608770046053735,"IKZF1","<none>",1375,FALSE,TRUE
"stateLateAD-DAM",0.547087033564834,0.0528208778159274,0.443560015413826,0.650614051715842,"IKZF1","<none>",1375,FALSE,TRUE
"stateDAM",0.566682045555527,0.0197685785615644,0.52793634354931,0.605427747561744,"IKZF1","AnG",1274,FALSE,TRUE
"stateLateAD-DAM",0.527448940411775,0.0521828666451546,0.425172401177216,0.629725479646334,"IKZF1","AnG",1274,FALSE,TRUE
"stateDAM",0.58217548960278,0.0212681104594436,0.540490759083051,0.623860220122509,"IKZF1","DFC",1156,FALSE,TRUE
"stateLateAD-DAM",0.541097288639976,0.0592876881500652,0.424895555139207,0.657299022140746,"IKZF1","DFC",1156,FALSE,TRUE
"stateDAM",0.547509201048757,0.020053612022568,0.508204843724584,0.58681355837293,"IKZF1","FI",1268,FALSE,TRUE
"stateLateAD-DAM",0.534815503902632,0.0518103908002301,0.433269003909235,0.636362003896028,"IKZF1","FI",1268,FALSE,TRUE
"stateDAM",0.578279329295128,0.0205278227464136,0.538045536031135,0.618513122559121,"IKZF1","HIP",1278,FALSE,TRUE
"stateLateAD-DAM",0.55471047291135,0.0547922404750641,0.447319654947966,0.662101290874733,"IKZF1","HIP",1278,FALSE,TRUE
"stateDAM",0.572082313795577,0.0203038633004526,0.532287472979665,0.611877154611489,"IKZF1","ITG",1272,FALSE,TRUE
"stateLateAD-DAM",0.555309771886182,0.0565282777128029,0.44451638346101,0.666103160311354,"IKZF1","ITG",1272,FALSE,TRUE
"stateDAM",0.556871674975598,0.0193626114773953,0.518921653833262,0.594821696117935,"IKZF1","LEC",1301,FALSE,TRUE
"stateLateAD-DAM",0.546396862700205,0.0519554696023166,0.444566013479799,0.648227711920611,"IKZF1","LEC",1301,FALSE,TRUE
"stateDAM",0.571062226524912,0.022287439205676,0.527379648374161,0.614744804675663,"IKZF1","MEC",1151,FALSE,TRUE
"stateLateAD-DAM",0.540497142030723,0.059279458442806,0.424311538459784,0.656682745601661,"IKZF1","MEC",1151,FALSE,TRUE
"stateDAM",0.582825685663188,0.0223249006819545,0.539069684368124,0.626581686958253,"IKZF1","MTG",1138,FALSE,TRUE
"stateLateAD-DAM",0.563365607948532,0.0641425277020014,0.437648563775247,0.689082652121818,"IKZF1","MTG",1138,FALSE,TRUE
"stateDAM",0.577394245045629,0.0207416249060978,0.536741407248838,0.618047082842419,"IKZF1","STG",1269,FALSE,TRUE
"stateLateAD-DAM",0.558512809262189,0.0567347273200809,0.44731478704213,0.669710831482248,"IKZF1","STG",1269,FALSE,TRUE
"stateDAM",0.572355935577317,0.0196847040261441,0.533774624639744,0.61093724651489,"IKZF1","V1C",1268,FALSE,TRUE
"stateLateAD-DAM",0.548898299184976,0.052416698137544,0.446163458646882,0.65163313972307,"IKZF1","V1C",1268,FALSE,TRUE
"stateDAM",1.40626889098948,0.0461715869075986,1.31577424354153,1.49676353843744,"IRF8","<none>",1375,FALSE,TRUE
"stateLateAD-DAM",0.868572747297979,0.123852514318271,0.625826279839436,1.11131921475652,"IRF8","<none>",1375,FALSE,TRUE
"stateDAM",1.40523509176364,0.045487017810677,1.31608217509058,1.4943880084367,"IRF8","AnG",1274,FALSE,TRUE
"stateLateAD-DAM",0.880030470666385,0.119150482004136,0.646499817197691,1.11356112413508,"IRF8","AnG",1274,FALSE,TRUE
"stateDAM",1.40029101105387,0.0520951499359492,1.2981863934102,1.50239562869755,"IRF8","DFC",1156,FALSE,TRUE
"stateLateAD-DAM",0.88093436759901,0.143695162762423,0.59929702383204,1.16257171136598,"IRF8","DFC",1156,FALSE,TRUE
"stateDAM",1.35491957122673,0.0450097477863558,1.26670208661224,1.44313705584122,"IRF8","FI",1268,FALSE,TRUE
"stateLateAD-DAM",0.835136873139238,0.115580135477269,0.60860397027553,1.06166977600295,"IRF8","FI",1268,FALSE,TRUE
"stateDAM",1.39916876669855,0.0471014786874962,1.30685156485248,1.49148596854462,"IRF8","HIP",1278,FALSE,TRUE
"stateLateAD-DAM",0.880802530633256,0.12490526591987,0.635992707950912,1.1256123533156,"IRF8","HIP",1278,FALSE,TRUE
"stateDAM",1.42655437215652,0.0487049882577058,1.33109434930397,1.52201439500907,"IRF8","ITG",1272,FALSE,TRUE
"stateLateAD-DAM",0.89741370512734,0.134486403999092,0.633825196878817,1.16100221337586,"IRF8","ITG",1272,FALSE,TRUE
"stateDAM",1.38761494152113,0.0465197457545751,1.29643791527221,1.47879196777006,"IRF8","LEC",1301,FALSE,TRUE
"stateLateAD-DAM",0.819985939663785,0.123956483453381,0.577035696444923,1.06293618288265,"IRF8","LEC",1301,FALSE,TRUE
"stateDAM",1.43292986001993,0.053093635135128,1.32886824734677,1.53699147269309,"IRF8","MEC",1151,FALSE,TRUE
"stateLateAD-DAM",0.90205892867003,0.14007644836216,0.627514134797913,1.17660372254215,"IRF8","MEC",1151,FALSE,TRUE
"stateDAM",1.4693731558446,0.05307341851086,1.36535116702689,1.57339514466231,"IRF8","MTG",1138,FALSE,TRUE
"stateLateAD-DAM",0.893947629419396,0.151117996836133,0.597761798204737,1.19013346063406,"IRF8","MTG",1138,FALSE,TRUE
