"term","estimate","se","ci_lo","ci_hi","gene","region_dropped","n_obs","is_singular","sig_positive"
"stateDAM",1.39002380026645,0.048160451798845,1.29563104926154,1.48441655127137,"IRF8","STG",1269,FALSE,TRUE
"stateLateAD-DAM",0.85363457111134,0.130746736812267,0.59737567586316,1.10989346635952,"IRF8","STG",1269,FALSE,TRUE
"stateDAM",1.40782403203234,0.0487878117466226,1.31220167812444,1.50344638594024,"IRF8","V1C",1268,FALSE,TRUE
"stateLateAD-DAM",0.858338509142358,0.128796537969897,0.605901933387915,1.1107750848968,"IRF8","V1C",1268,FALSE,TRUE
"stateDAM",0.0950694463614985,0.0297312892188344,0.0367971902786392,0.153341702444358,"SPI1","<none>",1375,FALSE,TRUE
"stateLateAD-DAM",-0.280601288004108,0.0796214056036715,-0.43665637538576,-0.124546200622456,"SPI1","<none>",1375,FALSE,FALSE
"stateDAM",0.104769914766611,0.030764937987902,0.0444717443237151,0.165068085209507,"SPI1","AnG",1274,FALSE,TRUE
"stateLateAD-DAM",-0.2725025763451,0.0804103785530886,-0.430104022292386,-0.114901130397815,"SPI1","AnG",1274,FALSE,FALSE
"stateDAM",0.11637237340146,0.0341840302280619,0.0493729053080298,0.183371841494889,"SPI1","DFC",1156,FALSE,TRUE
"stateLateAD-DAM",-0.320219632100328,0.0943437073961227,-0.505129900764713,-0.135309363435942,"SPI1","DFC",1156,FALSE,FALSE
"stateDAM",0.0748748901367667,0.0314575337915253,0.0132192568629253,0.136530523410608,"SPI1","FI",1268,FALSE,TRUE
"stateLateAD-DAM",-0.283971619886862,0.0804031852860662,-0.441558967289853,-0.126384272483872,"SPI1","FI",1268,FALSE,FALSE
"stateDAM",0.0716526121670699,0.029414202994432,0.014001833664033,0.129303390670107,"SPI1","HIP",1278,FALSE,TRUE
"stateLateAD-DAM",-0.314703301050393,0.0779033294791204,-0.467391021105227,-0.16201558099556,"SPI1","HIP",1278,FALSE,FALSE
"stateDAM",0.10408946031822,0.0312862523013988,0.0427695325962452,0.165409388040195,"SPI1","ITG",1272,FALSE,TRUE
"stateLateAD-DAM",-0.294306935287866,0.086303865173302,-0.463459402754139,-0.125154467821594,"SPI1","ITG",1272,FALSE,FALSE
"stateDAM",0.0596244987472115,0.0232036317206439,0.0141462162642183,0.105102781230205,"SPI1","LEC",1301,FALSE,TRUE
"stateLateAD-DAM",-0.167581220805553,0.0619473351225449,-0.288995766583974,-0.0461666750271318,"SPI1","LEC",1301,FALSE,FALSE
"stateDAM",0.108889966131643,0.0352150525346219,0.0398697314500982,0.177910200813188,"SPI1","MEC",1151,FALSE,TRUE
"stateLateAD-DAM",-0.297058716414261,0.0927804677464644,-0.478905091666111,-0.115212341162411,"SPI1","MEC",1151,FALSE,FALSE
"stateDAM",0.106309317270004,0.034968074145611,0.0377731513358799,0.174845483204127,"SPI1","MTG",1138,FALSE,TRUE
"stateLateAD-DAM",-0.311555932970235,0.0993496679119946,-0.506277703953759,-0.116834161986711,"SPI1","MTG",1138,FALSE,FALSE
"stateDAM",0.105337135907095,0.0317588092702754,0.0430910135454783,0.167583258268711,"SPI1","STG",1269,FALSE,TRUE
"stateLateAD-DAM",-0.278895961436849,0.0860019191515549,-0.447456625575222,-0.110335297298476,"SPI1","STG",1269,FALSE,FALSE
"stateDAM",0.0969667129285663,0.0315132089446126,0.0352019583598401,0.158731467497292,"SPI1","V1C",1268,FALSE,TRUE
"stateLateAD-DAM",-0.268848584523696,0.0830325889886615,-0.43158946848459,-0.106107700562803,"SPI1","V1C",1268,FALSE,FALSE
"stateDAM",2.20669427065056,0.0457412141872878,2.11704313823435,2.29634540306678,"BHLHE41","<none>",1375,FALSE,TRUE
"stateLateAD-DAM",1.323651119832,0.122483822734342,1.0835872385839,1.56371500108009,"BHLHE41","<none>",1375,FALSE,TRUE
"stateDAM",2.23151838577338,0.0476086507294946,2.13820714499102,2.32482962655573,"BHLHE41","AnG",1274,FALSE,TRUE
"stateLateAD-DAM",1.35265744922564,0.124402560946325,1.1088329101863,1.59648198826499,"BHLHE41","AnG",1274,FALSE,TRUE
"stateDAM",2.17806624763274,0.0498588159429007,2.08034476407284,2.27578773119264,"BHLHE41","DFC",1156,FALSE,TRUE
"stateLateAD-DAM",1.32804054012933,0.137826417350544,1.05790572600408,1.59817535425458,"BHLHE41","DFC",1156,FALSE,TRUE
"stateDAM",2.09214212347528,0.0437907340307478,2.00631386191844,2.17797038503211,"BHLHE41","FI",1268,FALSE,TRUE
"stateLateAD-DAM",1.22919971846871,0.11218401225693,1.00932309480393,1.44907634213349,"BHLHE41","FI",1268,FALSE,TRUE
"stateDAM",2.19747201835252,0.0477705624692347,2.1038434363916,2.29110060031344,"BHLHE41","HIP",1278,FALSE,TRUE
"stateLateAD-DAM",1.30834293615906,0.126262273979221,1.06087342655366,1.55581244576447,"BHLHE41","HIP",1278,FALSE,TRUE
"stateDAM",2.22547784271166,0.047728215228592,2.13193225981724,2.31902342560608,"BHLHE41","ITG",1272,FALSE,TRUE
"stateLateAD-DAM",1.34349540449206,0.131580660600245,1.08560204865359,1.60138876033053,"BHLHE41","ITG",1272,FALSE,TRUE
"stateDAM",2.18012772481018,0.0462201591711009,2.08953787747511,2.27071757214524,"BHLHE41","LEC",1301,FALSE,TRUE
"stateLateAD-DAM",1.30547105660553,0.122898373818531,1.06459467016267,1.54634744304839,"BHLHE41","LEC",1301,FALSE,TRUE
"stateDAM",2.30057427425233,0.0519958275278144,2.19866432495146,2.4024842235532,"BHLHE41","MEC",1151,FALSE,TRUE
"stateLateAD-DAM",1.40330697003481,0.137055508229384,1.13468311002239,1.67193083004724,"BHLHE41","MEC",1151,FALSE,TRUE
"stateDAM",2.27357000922026,0.0521886026181563,2.1712822276852,2.37585779075532,"BHLHE41","MTG",1138,FALSE,TRUE
"stateLateAD-DAM",1.41249382905557,0.148578173893126,1.12128595933632,1.70370169877483,"BHLHE41","MTG",1138,FALSE,TRUE
"stateDAM",2.180595575816,0.0481183016743849,2.08628543753697,2.27490571409503,"BHLHE41","STG",1269,FALSE,TRUE
"stateLateAD-DAM",1.25547971768992,0.130349035619375,1.00000030245642,1.51095913292343,"BHLHE41","STG",1269,FALSE,TRUE
"stateDAM",2.21910508694732,0.047389223300003,2.12622391602399,2.31198625787065,"BHLHE41","V1C",1268,FALSE,TRUE
"stateLateAD-DAM",1.31492711195418,0.124869742712085,1.07018691347971,1.55966731042864,"BHLHE41","V1C",1268,FALSE,TRUE
"stateDAM",0.346622761037493,0.0177690283492775,0.311796105432638,0.381449416642348,"RUNX1","<none>",1375,FALSE,TRUE
"stateLateAD-DAM",0.563102917077964,0.0481297188060386,0.468770401632089,0.65743543252384,"RUNX1","<none>",1375,FALSE,TRUE
"stateDAM",0.349378215655339,0.0180271840560616,0.314045584162784,0.384710847147894,"RUNX1","AnG",1274,FALSE,TRUE
"stateLateAD-DAM",0.554226413467491,0.0477120105026674,0.460712591252266,0.647740235682716,"RUNX1","AnG",1274,FALSE,TRUE
"stateDAM",0.350392715319893,0.0197780950539932,0.311628361331257,0.38915706930853,"RUNX1","DFC",1156,FALSE,TRUE
"stateLateAD-DAM",0.539534203710585,0.0552449388883578,0.431256113161288,0.647812294259883,"RUNX1","DFC",1156,FALSE,TRUE
"stateDAM",0.316423580555659,0.0177409851681516,0.281651888575823,0.351195272535495,"RUNX1","FI",1268,FALSE,TRUE
"stateLateAD-DAM",0.53186826311199,0.0459673532602973,0.441773906257177,0.621962619966803,"RUNX1","FI",1268,FALSE,TRUE
"stateDAM",0.347150421756932,0.0186599898264777,0.310577513745152,0.383723329768712,"RUNX1","HIP",1278,FALSE,TRUE
"stateLateAD-DAM",0.569889789757785,0.0499365414470173,0.47201596700914,0.667763612506431,"RUNX1","HIP",1278,FALSE,TRUE
"stateDAM",0.347151078597363,0.0185546299912654,0.310784672068017,0.38351748512671,"RUNX1","ITG",1272,FALSE,TRUE
"stateLateAD-DAM",0.585493974419435,0.0517963753717138,0.483974944161159,0.687013004677712,"RUNX1","ITG",1272,FALSE,TRUE
"stateDAM",0.344321214601347,0.0177933162683646,0.309446955549822,0.379195473652872,"RUNX1","LEC",1301,FALSE,TRUE
"stateLateAD-DAM",0.567299386003987,0.0478541231969788,0.473507028026166,0.661091743981808,"RUNX1","LEC",1301,FALSE,TRUE
"stateDAM",0.35308359851976,0.020056859983904,0.313772875308345,0.392394321731174,"RUNX1","MEC",1151,FALSE,TRUE
"stateLateAD-DAM",0.585332366528931,0.0534447130318595,0.480582653822408,0.690082079235454,"RUNX1","MEC",1151,FALSE,TRUE
"stateDAM",0.365710019218148,0.0201951903860017,0.326128173400655,0.405291865035641,"RUNX1","MTG",1138,FALSE,TRUE
"stateLateAD-DAM",0.564180061058605,0.0582678157255352,0.44997724077874,0.678382881338471,"RUNX1","MTG",1138,FALSE,TRUE
"stateDAM",0.340845073562922,0.0186241806526791,0.304342350242104,0.377347796883741,"RUNX1","STG",1269,FALSE,TRUE
"stateLateAD-DAM",0.564315478587175,0.051096151558694,0.464168861783534,0.664462095390815,"RUNX1","STG",1269,FALSE,TRUE
"stateDAM",0.350848718418328,0.018145792381571,0.315283618879508,0.386413817957149,"RUNX1","V1C",1268,FALSE,TRUE
"stateLateAD-DAM",0.564142529119903,0.0484295332489295,0.469222388163916,0.65906267007589,"RUNX1","V1C",1268,FALSE,TRUE
"stateDAM",-0.390108551174771,0.0353019610933154,-0.459299123501303,-0.320917978848239,"PPARG","<none>",1375,FALSE,FALSE
"stateLateAD-DAM",-0.666038958271356,0.0950742161242842,-0.85238099773333,-0.479696918809382,"PPARG","<none>",1375,FALSE,FALSE
"stateDAM",-0.410957322400549,0.0363542445379713,-0.482210332380135,-0.339704312420964,"PPARG","AnG",1274,FALSE,FALSE
"stateLateAD-DAM",-0.698184056205071,0.0956463096766156,-0.885647378425403,-0.51072073398474,"PPARG","AnG",1274,FALSE,FALSE
"stateDAM",-0.347797059095038,0.0398447286637829,-0.425891292249823,-0.269702825940253,"PPARG","DFC",1156,FALSE,FALSE
"stateLateAD-DAM",-0.728647766022612,0.110589209672714,-0.945398634059879,-0.511896897985344,"PPARG","DFC",1156,FALSE,FALSE
"stateDAM",-0.401368257081652,0.0358630671542668,-0.471658577079156,-0.331077937084148,"PPARG","FI",1268,FALSE,FALSE
"stateLateAD-DAM",-0.670672290090063,0.0923138117870459,-0.851604036468282,-0.489740543711844,"PPARG","FI",1268,FALSE,FALSE
"stateDAM",-0.413406470486581,0.03641943243252,-0.48478724639171,-0.342025694581452,"PPARG","HIP",1278,FALSE,FALSE
"stateLateAD-DAM",-0.664986872483948,0.0969545521420129,-0.855014302819504,-0.474959442148392,"PPARG","HIP",1278,FALSE,FALSE
"stateDAM",-0.388259482723616,0.0368183952932324,-0.46042221146691,-0.316096753980321,"PPARG","ITG",1272,FALSE,FALSE
"stateLateAD-DAM",-0.734390823631872,0.102189667668618,-0.934678891854481,-0.534102755409262,"PPARG","ITG",1272,FALSE,FALSE
"stateDAM",-0.39871247678226,0.0347483135506429,-0.466817919865026,-0.330607033699495,"PPARG","LEC",1301,FALSE,FALSE
"stateLateAD-DAM",-0.534329388667544,0.092903083188472,-0.716416085769678,-0.352242691565411,"PPARG","LEC",1301,FALSE,FALSE
"stateDAM",-0.412717209495753,0.0392163583673181,-0.489579859500513,-0.335854559490993,"PPARG","MEC",1151,FALSE,FALSE
"stateLateAD-DAM",-0.683707687970167,0.104119102479506,-0.887777378932634,-0.4796379970077,"PPARG","MEC",1151,FALSE,FALSE
"stateDAM",-0.345691414035495,0.0389438502656387,-0.422019957975467,-0.269362870095522,"PPARG","MTG",1138,FALSE,FALSE
"stateLateAD-DAM",-0.645792745110587,0.111504357253917,-0.864337269447553,-0.427248220773622,"PPARG","MTG",1138,FALSE,FALSE
"stateDAM",-0.385902057248398,0.0370416957730347,-0.458502446889836,-0.313301667606961,"PPARG","STG",1269,FALSE,FALSE
"stateLateAD-DAM",-0.713247428676706,0.100949556715588,-0.911104924094542,-0.51538993325887,"PPARG","STG",1269,FALSE,FALSE
"stateDAM",-0.389663637227958,0.0370444760133786,-0.462269476040338,-0.317057798415578,"PPARG","V1C",1268,FALSE,FALSE
"stateLateAD-DAM",-0.621047230835804,0.0982043549915165,-0.813524229744162,-0.428570231927445,"PPARG","V1C",1268,FALSE,FALSE
"stateDAM",0.441631096378601,0.0419344396348169,0.359441104982491,0.523821087774711,"CEBPB","<none>",1375,FALSE,TRUE
"stateLateAD-DAM",-0.0107943771849086,0.113342030841364,-0.23294067556861,0.211351921198793,"CEBPB","<none>",1375,FALSE,FALSE
"stateDAM",0.435611801228584,0.0420025851631492,0.353288247051235,0.517935355405933,"CEBPB","AnG",1274,FALSE,TRUE
"stateLateAD-DAM",0.00698709995114444,0.110942588224344,-0.210456377320228,0.224430577222517,"CEBPB","AnG",1274,FALSE,FALSE
"stateDAM",0.398580674639974,0.0461811645329517,0.30806725539127,0.489094093888678,"CEBPB","DFC",1156,FALSE,TRUE
"stateLateAD-DAM",-0.0410095296067336,0.128773701021902,-0.29340134576559,0.211382286552123,"CEBPB","DFC",1156,FALSE,FALSE
"stateDAM",0.450763987837173,0.0445117821832128,0.363522497870385,0.538005477803962,"CEBPB","FI",1268,FALSE,TRUE
"stateLateAD-DAM",0.0144602134853071,0.114994450073683,-0.210924767081102,0.239845194051716,"CEBPB","FI",1268,FALSE,FALSE
"stateDAM",0.44467011057965,0.0421714760157328,0.36201553641392,0.527324684745381,"CEBPB","HIP",1278,FALSE,TRUE
"stateLateAD-DAM",-0.017284125080589,0.112632884210042,-0.238040521607141,0.203472271445963,"CEBPB","HIP",1278,FALSE,FALSE
"stateDAM",0.454149580505282,0.0440825298783409,0.367749409596323,0.540549751414241,"CEBPB","ITG",1272,FALSE,TRUE
"stateLateAD-DAM",-0.0445343571146343,0.122777178035751,-0.285173204188169,0.1961044899589,"CEBPB","ITG",1272,FALSE,FALSE
"stateDAM",0.441644591505133,0.0426749252212468,0.35800327502855,0.525285907981717,"CEBPB","LEC",1301,FALSE,TRUE
"stateLateAD-DAM",0.010860020211332,0.114497036097007,-0.213550046875384,0.235270087298048,"CEBPB","LEC",1301,FALSE,FALSE
"stateDAM",0.475704444425516,0.04697105358609,0.383642871080879,0.567766017770153,"CEBPB","MEC",1151,FALSE,TRUE
"stateLateAD-DAM",0.0503525595974256,0.124999924746238,-0.194642790975418,0.295347910170269,"CEBPB","MEC",1151,FALSE,FALSE
"stateDAM",0.45982480621825,0.0469680700358098,0.367769080524707,0.551880531911792,"CEBPB","MTG",1138,FALSE,TRUE
"stateLateAD-DAM",0.0328675813998066,0.135037034938052,-0.231800143657852,0.297535306457465,"CEBPB","MTG",1138,FALSE,FALSE
"stateDAM",0.406168300600583,0.0426972654151561,0.32248319814853,0.489853403052637,"CEBPB","STG",1269,FALSE,TRUE
"stateLateAD-DAM",-0.0696319152884227,0.116891269458819,-0.298734593534875,0.15947076295803,"CEBPB","STG",1269,FALSE,FALSE
"stateDAM",0.447345005604238,0.0440362979967983,0.36103544751804,0.533654563690436,"CEBPB","V1C",1268,FALSE,TRUE
"stateLateAD-DAM",-0.0251796987350481,0.117230224949136,-0.254946717534884,0.204587320064788,"CEBPB","V1C",1268,FALSE,FALSE
