"gene","variant","term","estimate","se","df","t","p_value","ci_lo","ci_hi","n_obs"
"B2M","min10","stateDAM",0.164738953583822,0.032491950467808,1290.96536746014,5.07014664284434,4.55422499812146e-07,0.101055900879458,0.228422006288185,1375
"B2M","min10","stateIRM",0.138241350852915,0.032779908852424,1288.53924859832,4.21725854929254,2.64567612821263e-05,0.0739939100856584,0.202488791620172,1375
"B2M","min10","stateLAM",0.255103513042891,0.0863135232748996,1300.05017328936,2.95554512623025,0.00317741647129068,0.085932116045328,0.424274910040454,1375
"B2M","min10","stateLateAD-DAM",-0.24926740415818,0.0877551793940142,1318.80654143426,-2.8404865203339,0.00457369620307794,-0.4212643952273,-0.0772704130890609,1375
"B2M","unconstrained","stateDAM",0.330686133127519,0.0683784677664954,1996.86282411425,4.83611499246772,1.42525270207631e-06,0.196666798987155,0.464705467267883,2087
"B2M","unconstrained","stateIRM",0.293738082700984,0.0684093639087842,1996.81594343236,4.29382859183793,1.84033580183214e-05,0.159658193234472,0.427817972167495,2087
"B2M","unconstrained","stateLAM",-0.169407066234872,0.0868332739098252,2037.83285751515,-1.95094643570388,0.0512002952288942,-0.339597155757831,0.000783023288086354,2087
"B2M","unconstrained","stateLateAD-DAM",-0.784789864111061,0.0869996331243821,2044.09201987116,-9.02061119026856,4.19760936247764e-19,-0.955306011703048,-0.614273716519074,2087
