"gene","variant","status","n_obs","n_states","is_singular","aic_full","aic_reduced","lrt_region_chisq","lrt_region_p","lrt_state_chisq","lrt_state_p","icc_donor","icc_region","var_resid"
"ACTB","min10","ok",1375,5,FALSE,1934.59878375562,2134.47488358105,201.876099825433,8.1364364650188e-46,265.407825704277,3.11578181631066e-56,0.235982588290851,0.154646279236476,0.205240504405017
"ACTB","unconstrained","ok",2087,5,FALSE,6613.88908923764,6695.66814467585,83.7790554382054,5.53278847049746e-20,209.148610947605,4.05055391225134e-44,0.069239469617895,0.0648825457848909,1.30709166220114
"B2M","min10","ok",1375,5,FALSE,1839.1629856879,2016.33256451223,179.169578824329,7.35761767830954e-41,47.5986245250876,1.14427299426473e-09,0.278751614898078,0.134704838695333,0.189629622067062
"B2M","unconstrained","ok",2087,5,FALSE,6492.24302364474,6523.17869967848,32.9356760337359,9.52590204376883e-09,192.036062813303,1.93531318312309e-40,0.0680101606522793,0.0311229147653221,1.23886564905151
"BHLHE41","min10","ok",1375,5,FALSE,2702.90493730292,2746.68951290104,45.7845755981152,1.31998813156068e-11,1377.86375062101,4.3600789718582e-297,0.119919172957446,0.0477928095361217,0.378920541898239
"BHLHE41","unconstrained","ok",2087,5,FALSE,7449.03851179617,7494.26762213104,47.2291103348707,6.31554853498558e-12,905.033972325835,1.35195893344383e-194,0.0239114942797065,0.0359672253006439,1.9997244514611
"CEBPB","min10","ok",1375,5,FALSE,2548.30288304659,2695.34394097333,149.04105792674,2.80909217484376e-34,120.870461304471,3.4812106887131e-25,0.317554430306437,0.104704049192056,0.315717469104983
"CEBPB","unconstrained","ok",2087,5,FALSE,7257.37054162965,7296.38498460104,41.0144429713982,1.51108408503972e-10,313.561061619936,1.28568332770797e-66,0.107812592404453,0.0315260209554749,1.763551927459
"GAPDH","min10","ok",1375,5,FALSE,2737.10504055386,2856.23105054154,121.126009987684,3.58614757485088e-28,175.851022138718,5.80045542739473e-37,0.193471812750939,0.105205775185009,0.37534291472313
"GAPDH","unconstrained","ok",2087,5,FALSE,7565.44385182901,7652.24690035282,88.8030485238096,4.36143297868889e-21,235.491084992292,8.67716670482603e-50,0.0787540432978358,0.0618061263204201,2.05549499355207
"IKZF1","min10","ok",1375,5,FALSE,433.930229861137,474.041574155574,42.1113442944367,8.62215567077697e-11,785.177341458266,1.24723771109915e-168,0.318638094397198,0.0373842731480429,0.0687129938982797
"IKZF1","unconstrained","ok",2087,5,FALSE,6134.19951903714,6145.09075953984,12.8912405027022,0.000330123550164912,440.958110143254,3.91287225086479e-94,0.0449777019997379,0.0134300306026601,1.05760692439573
"IKZF2","min10","ok",1375,5,FALSE,3320.2605368469,3319.13888997111,0.878353124205205,0.348653142435268,290.754997805638,1.06863342950672e-61,0.29621178829793,0.00229259159358201,0.57196307194368
"IKZF2","unconstrained","ok",2087,5,TRUE,7577.83282514544,7575.83282514542,0,1,694.958290167443,4.30428982390709e-149,0.106352987096012,0,2.07869655280844
"IKZF3","min10","ok",1375,5,FALSE,3315.16693824963,3317.85909045326,4.69215220362867,0.0303006719390285,73.6888063353813,3.77294674989294e-15,0.0680778760923044,0.00828157969996071,0.611267393501332
"IKZF3","unconstrained","ok",2087,5,FALSE,5083.21078271147,5089.22608074933,8.01529803785706,0.00463838398187513,212.353323064466,8.28251087206563e-45,0.0687258774173784,0.00850991406568632,0.633837003434818
"IRF8","min10","ok",1375,5,FALSE,2740.76293472831,2810.00921392751,71.2462791991966,3.15304911430235e-17,705.527620098946,2.21481411688287e-151,0.139584033494019,0.0683755779037464,0.385321659537718
"IRF8","unconstrained","ok",2087,5,FALSE,7585.85376849203,7625.79045285851,41.9366843664802,9.42772070698676e-11,557.82541044611,2.07383309312154e-119,0.0363774078008785,0.0313673393264202,2.12164978879789
"PPARG","min10","ok",1375,5,FALSE,2018.54953976482,2028.25418965593,11.7046498911093,0.000623441105230792,742.90749421539,1.78139281672273e-159,0.211963227570215,0.0181384741966889,0.22510018360776
"PPARG","unconstrained","ok",2087,5,TRUE,7558.46126562985,7556.46126562986,2.72848410531878e-12,0.999998682044413,439.403913846069,8.48122586171675e-94,0.059177041798947,0,2.09314541853138
"RUNX1","min10","ok",1375,5,FALSE,219.254759466843,308.757955613865,91.5031961470219,1.11412086003877e-21,489.391357504681,1.31951548304577e-104,0.458084148962721,0.0493809311538607,0.0566193578867327
"RUNX1","unconstrained","ok",2087,5,FALSE,4629.36510378391,4662.61003296666,35.2449291827506,2.90738118642932e-09,268.743595762974,5.95110829645347e-57,0.0851913021462543,0.0270528066318784,0.504633845224152
"SPI1","min10","ok",1375,5,FALSE,1527.88607502674,1639.61243148126,113.72635645452,1.4959143247188e-26,50.1640133832468,3.33705911996185e-10,0.112893072530332,0.127812121959373,0.159888299206048
"SPI1","unconstrained","ok",2087,5,FALSE,6878.1879286713,6909.7060110317,33.5180823604069,7.06045289290755e-09,274.217597743947,3.93211832177085e-58,0.0237110344996972,0.0294289666927743,1.52280763079727
