"gene","variant","term","estimate","se","df","t","p_value","ci_lo","ci_hi","n_obs"
"CEBPB","min10","stateDAM",0.441631096378601,0.0419344396348169,1294.23348881624,10.5314653116749,6.10621236105331e-25,0.359441104982491,0.523821087774711,1375
"CEBPB","min10","stateIRM",0.27685885262186,0.0423039383515021,1292.17973286281,6.5445172107015,8.58443145491068e-11,0.193944657048713,0.359773048195007,1375
"CEBPB","min10","stateLAM",0.596760955183701,0.111423502307765,1301.64081224723,5.35579067991759,1.0061479345951e-07,0.378374903629167,0.815147006738235,1375
"CEBPB","min10","stateLateAD-DAM",-0.0107943771849086,0.113342030841364,1317.96387836305,-0.0952371958114695,0.92414090375553,-0.23294067556861,0.211351921198793,1375
"CEBPB","unconstrained","stateDAM",0.61724706898727,0.0815840874777689,1994.2188627008,7.56577769109039,5.85093731452882e-14,0.457345195819278,0.777148942155263,2087
"CEBPB","unconstrained","stateIRM",0.453299282635622,0.081620851990869,1994.18353975634,5.55371907519825,3.1708805414835e-08,0.293325352346044,0.613273212925199,2087
"CEBPB","unconstrained","stateLAM",-0.496338229254552,0.103779269942071,2027.22697218617,-4.78263365633239,1.85476439535182e-06,-0.699741860682871,-0.292934597826233,2087
"CEBPB","unconstrained","stateLateAD-DAM",-1.03509857416386,0.10400835651572,2031.4736610584,-9.95207124542355,8.1434261931912e-23,-1.23895120702587,-0.831245941301845,2087
