"term","estimate","se","ci_lo","ci_hi","gene","is_singular"
"stateDAM",0.571168126356789,0.0194957834939542,0.532957092858249,0.60937915985533,"IKZF1",FALSE
"stateLateAD-DAM",0.545005786255534,0.0526615235890516,0.441791096649987,0.648220475861082,"IKZF1",FALSE
"stateDAM",1.40851095693378,0.0460353460798634,1.31828333660141,1.49873857726615,"IRF8",FALSE
"stateLateAD-DAM",0.860941363463618,0.12345688671897,0.618970311850995,1.10291241507624,"IRF8",FALSE
"stateDAM",0.0960616140432537,0.0296416448255128,0.0379650577427205,0.154158170343787,"SPI1",FALSE
"stateLateAD-DAM",-0.282413664848215,0.0793560477901689,-0.437948660472385,-0.126878669224044,"SPI1",FALSE
"stateDAM",2.20832329865578,0.0456287993808745,2.11889249521146,2.2977541021001,"BHLHE41",FALSE
"stateLateAD-DAM",1.31374257057844,0.12212459033991,1.07438277188551,1.55310236927137,"BHLHE41",FALSE
"stateDAM",0.346687838252136,0.017715044448222,0.311966989149094,0.381408687355177,"RUNX1",FALSE
"stateLateAD-DAM",0.560112365690136,0.0479747367082343,0.466083609574205,0.654141121806066,"RUNX1",FALSE
"stateDAM",-0.391268140164597,0.0352339760760231,-0.460325464305748,-0.322210816023446,"PPARG",FALSE
"stateLateAD-DAM",-0.660591493735514,0.0948314578242085,-0.846457735672392,-0.474725251798637,"PPARG",FALSE
"stateDAM",0.442694141569401,0.0418018657893371,0.360763990135723,0.524624293003078,"CEBPB",FALSE
"stateLateAD-DAM",-0.00996813986809859,0.112968866210082,-0.231383049014183,0.211446769277985,"CEBPB",FALSE
