"term","log_rate_ratio","se","p_value"
"stateDAM",0.511344941735586,0.0160406602242983,5.3806152471723e-223
"stateIRM",0.421321850641905,0.0165669461737204,1.13184031217796e-142
"stateLAM",-0.0865975826314889,0.0455140492244748,0.0570854359456189
"stateLateAD-DAM",0.509913466738455,0.0391672892456893,9.55869374817683e-39
