"gene","variant","term","estimate","se","df","t","p_value","ci_lo","ci_hi","n_obs"
"SPI1","min10","stateDAM",0.0950694463614985,0.0297312892188344,1313.18326754894,3.19762273548748,0.0014187094132363,0.0367971902786392,0.153341702444358,1375
"SPI1","min10","stateIRM",0.135644594115255,0.0300155119563723,1307.9300652789,4.51914977537,6.76991159064114e-06,0.0768152717032344,0.194473916527276,1375
"SPI1","min10","stateLAM",-0.141025303953076,0.0787403872275884,1334.55965471053,-1.79101613439443,0.0735172559536778,-0.295353627047887,0.0133030191417347,1375
"SPI1","min10","stateLateAD-DAM",-0.280601288004108,0.0796214056036715,1356.22267397943,-3.52419410178271,0.000438897240815357,-0.43665637538576,-0.124546200622456,1375
"SPI1","unconstrained","stateDAM",0.246684767809964,0.0758089978699542,2006.48099946588,3.25403019089022,0.00115671247912471,0.0981018622807797,0.395267673339147,2087
"SPI1","unconstrained","stateIRM",0.252170858623025,0.0758435076722626,2006.40712385767,3.32488391376509,0.000900483460624381,0.103520315124203,0.400821402121847,2087
"SPI1","unconstrained","stateLAM",-0.901206768589672,0.0958812857430898,2059.9251586084,-9.39919361328154,1.41017812903476e-20,-1.08913063543752,-0.713282901741822,2087
"SPI1","unconstrained","stateLateAD-DAM",-0.918661115842254,0.0959746427703405,2068.46990171201,-9.57191492799338,2.87310522290268e-21,-1.10676795910122,-0.730554272583289,2087
