"gene","variant","term","estimate","se","df","t","p_value","ci_lo","ci_hi","n_obs"
"BHLHE41","min10","stateDAM",2.20669427065056,0.0457412141872878,1319.79125802219,48.2430191209013,1.33887128736298e-293,2.11704313823435,2.29634540306678,1375
"BHLHE41","min10","stateIRM",1.75091636105493,0.0461808424195196,1314.70471642495,37.9143443324207,3.7177564499174e-213,1.66040357313695,1.8414291489729,1375
"BHLHE41","min10","stateLAM",1.8920588359949,0.121141169171498,1339.80120959256,15.6186278284663,1.19766707068781e-50,1.65462650737369,2.12949116461611,1375
"BHLHE41","min10","stateLateAD-DAM",1.323651119832,0.122483822734342,1359.53053017244,10.8067423948948,3.57549654397785e-26,1.0835872385839,1.56371500108009,1375
"BHLHE41","unconstrained","stateDAM",2.65144324422801,0.0868727623974784,2000.65620211921,30.5209961218521,2.66748352646894e-168,2.48117575869145,2.82171072976458,2087
"BHLHE41","unconstrained","stateIRM",2.16283034573477,0.0869122778355875,2000.58020856884,24.8852106928575,2.5628416066525e-119,1.99248541136268,2.33317528010686,2087
"BHLHE41","unconstrained","stateLAM",1.47114682221431,0.109884225390938,2057.99139675954,13.388153003585,2.96099403849045e-39,1.25577769797899,1.68651594644963,2087
"BHLHE41","unconstrained","stateLateAD-DAM",0.683447276501405,0.109993133036873,2067.25493023797,6.21354495168613,6.24668990474642e-10,0.467864697202411,0.899029855800399,2087
