group_id,donor,state,region,gene,count,cpm,log1p_cpm,n_cells,passes_min10
H19.33.004|DAM|AnG,H19.33.004,DAM,AnG,IKZF1,453.0,525.913121009939,6.2670356791825395,148,True
H19.33.004|DAM|AnG,H19.33.004,DAM,AnG,IKZF2,82.0,95.19840159561808,4.5664127421034575,148,True
H19.33.004|DAM|AnG,H19.33.004,DAM,AnG,IKZF3,3.0,3.4828683510591985,1.5002630984827252,148,True
H19.33.004|DAM|AnG,H19.33.004,DAM,AnG,IRF8,112.0,130.02708510621005,4.875404058365919,148,True
H19.33.004|DAM|AnG,H19.33.004,DAM,AnG,SPI1,66.0,76.62310372330236,4.351865111269942,148,True
H19.33.004|DAM|AnG,H19.33.004,DAM,AnG,BHLHE41,259.0,300.68763430811083,5.709392158610124,148,True
H19.33.004|DAM|AnG,H19.33.004,DAM,AnG,RUNX1,1022.0,1186.4971515941668,7.079603137248376,148,True
H19.33.004|DAM|AnG,H19.33.004,DAM,AnG,CEBPB,107.0,124.2223045211114,4.830090593926059,148,True
H19.33.004|DAM|AnG,H19.33.004,DAM,AnG,PPARG,131.0,152.085251329585,5.030994964447722,148,True
H19.33.004|DAM|AnG,H19.33.004,DAM,AnG,ACTB,215.0,249.60556515924256,5.523880249554744,148,True
H19.33.004|DAM|AnG,H19.33.004,DAM,AnG,GAPDH,75.0,87.07170877647995,4.478151355109896,148,True
H19.33.004|DAM|AnG,H19.33.004,DAM,AnG,B2M,227.0,263.5370385634793,5.577981273870839,148,True
H19.33.004|DAM|DFC,H19.33.004,DAM,DFC,IKZF1,936.0,509.4875730755413,6.235366294655233,272,True
H19.33.004|DAM|DFC,H19.33.004,DAM,DFC,IKZF2,86.0,46.8118923979664,3.8672744034896183,272,True
H19.33.004|DAM|DFC,H19.33.004,DAM,DFC,IKZF3,2.0,1.0886486604178234,0.7365172828948655,272,True
H19.33.004|DAM|DFC,H19.33.004,DAM,DFC,IRF8,444.0,241.68000261275677,5.491743713840361,272,True
H19.33.004|DAM|DFC,H19.33.004,DAM,DFC,SPI1,222.0,120.84000130637838,4.8027087193089875,272,True
H19.33.004|DAM|DFC,H19.33.004,DAM,DFC,BHLHE41,599.0,326.0502737951381,5.790113901572864,272,True
H19.33.004|DAM|DFC,H19.33.004,DAM,DFC,RUNX1,2020.0,1099.5351470220016,7.00355183777775,272,True
H19.33.004|DAM|DFC,H19.33.004,DAM,DFC,CEBPB,194.0,105.59892006052887,4.669073380916158,272,True
H19.33.004|DAM|DFC,H19.33.004,DAM,DFC,PPARG,184.0,100.15567675843975,4.616660684218299,272,True
H19.33.004|DAM|DFC,H19.33.004,DAM,DFC,ACTB,635.0,345.6459496826589,5.848303941150785,272,True
H19.33.004|DAM|DFC,H19.33.004,DAM,DFC,GAPDH,295.0,160.57567741162896,5.084973623692416,272,True
H19.33.004|DAM|DFC,H19.33.004,DAM,DFC,B2M,549.0,298.8340572846925,5.7032291792321566,272,True
H19.33.004|DAM|FI,H19.33.004,DAM,FI,IKZF1,287.0,521.9804702916725,6.259544121669181,189,True
H19.33.004|DAM|FI,H19.33.004,DAM,FI,IKZF2,68.0,123.67481526074471,4.825708869664453,189,True
H19.33.004|DAM|FI,H19.33.004,DAM,FI,IKZF3,0.0,0.0,0.0,189,True
H19.33.004|DAM|FI,H19.33.004,DAM,FI,IRF8,75.0,136.4060462434684,4.9229403835032475,189,True
H19.33.004|DAM|FI,H19.33.004,DAM,FI,SPI1,56.0,101.84984786178977,4.6332701368736595,189,True
H19.33.004|DAM|FI,H19.33.004,DAM,FI,BHLHE41,207.0,376.48068763197284,5.933519408789634,189,True
H19.33.004|DAM|FI,H19.33.004,DAM,FI,RUNX1,602.0,1094.8858645142398,6.999318323868266,189,True
H19.33.004|DAM|FI,H19.33.004,DAM,FI,CEBPB,93.0,169.14349734190083,5.13664218300769,189,True
H19.33.004|DAM|FI,H19.33.004,DAM,FI,PPARG,54.0,98.21235329529726,4.597262535724176,189,True
H19.33.004|DAM|FI,H19.33.004,DAM,FI,ACTB,212.0,385.5744240482041,5.957324408476673,189,True
H19.33.004|DAM|FI,H19.33.004,DAM,FI,GAPDH,77.0,140.04354080996092,4.949068642779884,189,True
H19.33.004|DAM|FI,H19.33.004,DAM,FI,B2M,188.0,341.92448925029413,5.837510274971495,189,True
H19.33.004|DAM|HIP,H19.33.004,DAM,HIP,IKZF1,373.0,604.1630559960348,6.405497935761489,152,True
H19.33.004|DAM|HIP,H19.33.004,DAM,HIP,IKZF2,50.0,80.98700482520574,4.406560756963936,152,True
H19.33.004|DAM|HIP,H19.33.004,DAM,HIP,IKZF3,0.0,0.0,0.0,152,True
H19.33.004|DAM|HIP,H19.33.004,DAM,HIP,IRF8,77.0,124.71998743081684,4.8340571119517675,152,True
H19.33.004|DAM|HIP,H19.33.004,DAM,HIP,SPI1,49.0,79.36726472870163,4.38660693815912,152,True
H19.33.004|DAM|HIP,H19.33.004,DAM,HIP,BHLHE41,152.0,246.20049466862548,5.510199726668207,152,True
H19.33.004|DAM|HIP,H19.33.004,DAM,HIP,RUNX1,500.0,809.8700482520575,6.6981078048422225,152,True
H19.33.004|DAM|HIP,H19.33.004,DAM,HIP,CEBPB,41.0,66.4093439566687,4.210783642681344,152,True
H19.33.004|DAM|HIP,H19.33.004,DAM,HIP,PPARG,87.0,140.91738839585798,4.955245116446193,152,True
H19.33.004|DAM|HIP,H19.33.004,DAM,HIP,ACTB,96.0,155.49504926439505,5.053024375386517,152,True
H19.33.004|DAM|HIP,H19.33.004,DAM,HIP,GAPDH,71.0,115.00154685179217,4.753603525946698,152,True
H19.33.004|DAM|HIP,H19.33.004,DAM,HIP,B2M,111.0,179.79115071195676,5.197342501582992,152,True
H19.33.004|DAM|ITG,H19.33.004,DAM,ITG,IKZF1,845.0,464.82307018663334,6.143805884318727,233,True
H19.33.004|DAM|ITG,H19.33.004,DAM,ITG,IKZF2,135.0,74.26167393514261,4.320971026947474,233,True
H19.33.004|DAM|ITG,H19.33.004,DAM,ITG,IKZF3,1.0,0.5500864735936489,0.4383107187902411,233,True
