"gene","variant","term","estimate","se","df","t","p_value","ci_lo","ci_hi","n_obs"
"IRF8","min10","stateDAM",1.40626889098948,0.0461715869075986,1304.68563776983,30.4574519780703,2.35611572738314e-154,1.31577424354153,1.49676353843744,1375
"IRF8","min10","stateIRM",0.928262664066848,0.0466075148477718,1299.4024120407,19.9165878528112,3.07913590242893e-77,0.836913613556299,1.0196117145774,1375
"IRF8","min10","stateLAM",1.16694492186741,0.122364081055082,1325.76074450165,9.53666232611275,6.7774198699599e-21,0.927115729998106,1.40677411373671,1375
"IRF8","min10","stateLateAD-DAM",0.868572747297979,0.123852514318271,1350.70689372461,7.01296014924619,3.67706837184816e-12,0.625826279839436,1.11131921475652,1375
"IRF8","unconstrained","stateDAM",1.77545528419888,0.0894826025384288,1990.87013362726,19.8413460698844,4.33289160587362e-80,1.60007260598065,1.95083796241711,2087
"IRF8","unconstrained","stateIRM",1.22210198573696,0.0895232036750728,1990.80012048274,13.6512315865351,1.26087027629344e-40,1.04663973075318,1.39756424072075,2087
"IRF8","unconstrained","stateLAM",-0.0968494658349091,0.113357860852004,2047.54897865445,-0.854369208337058,0.39300039863405,-0.31902679046934,0.125327858799522,2087
"IRF8","unconstrained","stateLateAD-DAM",-0.224169778388204,0.113514892157026,2057.10663589355,-1.9748050156988,0.048423808680406,-0.446654878724924,-0.00168467805148401,2087
