"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Sncg","Astrocyte","BMP6","ACVR1_BMPR2",0.0017995400790563,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sst Chodl","Astrocyte","BMP6","ACVR1_BMPR2",0.00278969011951972,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Vascular","Astrocyte","BMP6","ACVR1_BMPR2",0.00587040720578472,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Lamp5","Chandelier","BMP6","ACVR1_BMPR2",0.00581059710291511,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sncg","Chandelier","BMP6","ACVR1_BMPR2",0.00112324418153981,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sst Chodl","Chandelier","BMP6","ACVR1_BMPR2",0.00174200091278549,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Vascular","Chandelier","BMP6","ACVR1_BMPR2",0.00366985816602873,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Lamp5","ExcNeuron","BMP6","ACVR1_BMPR2",0.00766042397687944,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sncg","ExcNeuron","BMP6","ACVR1_BMPR2",0.0014834383364105,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sst Chodl","ExcNeuron","BMP6","ACVR1_BMPR2",0.0022999824960283,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Vascular","ExcNeuron","BMP6","ACVR1_BMPR2",0.00484173946267976,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Lamp5","Lamp5","BMP6","ACVR1_BMPR2",0.0090178590792438,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sncg","Lamp5","BMP6","ACVR1_BMPR2",0.00174775920421226,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sst Chodl","Lamp5","BMP6","ACVR1_BMPR2",0.00270944372292325,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Vascular","Lamp5","BMP6","ACVR1_BMPR2",0.00570168899516814,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Lamp5","Lamp5 Lhx6","BMP6","ACVR1_BMPR2",0.00680993796893889,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sncg","Lamp5 Lhx6","BMP6","ACVR1_BMPR2",0.00131761819248742,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sst Chodl","Lamp5 Lhx6","BMP6","ACVR1_BMPR2",0.00204316031938806,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Vascular","Lamp5 Lhx6","BMP6","ACVR1_BMPR2",0.00430265504909354,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Lamp5","OPC","BMP6","ACVR1_BMPR2",0.0085671600533842,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sncg","OPC","BMP6","ACVR1_BMPR2",0.00165953403382949,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
