"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Lamp5","Chandelier","BMP6","ACVR1_ACVR2A",0.0019991250970832,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sncg","Chandelier","BMP6","ACVR1_ACVR2A",0.000385202511374292,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sst Chodl","Chandelier","BMP6","ACVR1_ACVR2A",0.000597698401684202,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Vascular","Chandelier","BMP6","ACVR1_ACVR2A",0.00126089443703643,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Lamp5","ExcNeuron","BMP6","ACVR1_ACVR2A",0.00464717860563923,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sncg","ExcNeuron","BMP6","ACVR1_ACVR2A",0.000897557166662167,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sst Chodl","ExcNeuron","BMP6","ACVR1_ACVR2A",0.0013921809435168,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Vascular","ExcNeuron","BMP6","ACVR1_ACVR2A",0.00293398657871783,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Lamp5","Lamp5","BMP6","ACVR1_ACVR2A",0.0056313463665574,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sncg","Lamp5","BMP6","ACVR1_ACVR2A",0.00108833317394779,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sst Chodl","Lamp5","BMP6","ACVR1_ACVR2A",0.00168792155131273,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Vascular","Lamp5","BMP6","ACVR1_ACVR2A",0.0035562903123198,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Lamp5","Lamp5 Lhx6","BMP6","ACVR1_ACVR2A",0.00407260895270385,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sncg","Lamp5 Lhx6","BMP6","ACVR1_ACVR2A",0.000786139447457361,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sst Chodl","Lamp5 Lhx6","BMP6","ACVR1_ACVR2A",0.00121947100035226,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Vascular","Lamp5 Lhx6","BMP6","ACVR1_ACVR2A",0.00257062209287023,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Lamp5","OPC","BMP6","ACVR1_ACVR2A",0.00536778207774543,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sncg","OPC","BMP6","ACVR1_ACVR2A",0.00103707057153371,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
