compound,target,vina_score,status
CHEMBL1200790,IRF8_AF2_DBD,-4.285,ok
CHEMBL1183717,IRF8_AF2_DBD,,timeout
CHEMBL1200617,IRF8_AF2_DBD,-6.512,ok
CHEMBL1200600,IRF8_AF2_DBD,-6.987,ok
CHEMBL1200802,IRF8_AF2_DBD,-4.444,ok
CHEMBL119,IRF8_AF2_DBD,-6.044,ok
CHEMBL1200342,IRF8_AF2_DBD,-6.518,ok
CHEMBL1195,IRF8_AF2_DBD,-4.937,ok
CHEMBL1196,IRF8_AF2_DBD,-5.087,ok
CHEMBL1200829,IRF8_AF2_DBD,-4.086,ok
CHEMBL1200807,IRF8_AF2_DBD,-6.653,ok
CHEMBL1200,IRF8_AF2_DBD,-5.172,ok
CHEMBL1200604,IRF8_AF2_DBD,-5.526,ok
CHEMBL1200774,IRF8_AF2_DBD,-6.367,ok
CHEMBL1200538,IRF8_AF2_DBD,-7.132,ok
CHEMBL1200907,IRF8_AF2_DBD,-6.702,ok
CHEMBL1200862,IRF8_AF2_DBD,-4.733,ok
CHEMBL1194325,IRF8_AF2_DBD,,timeout
CHEMBL1200845,IRF8_AF2_DBD,-7.107,ok
CHEMBL1200868,IRF8_AF2_DBD,-5.803,ok
CHEMBL1200376,IRF8_AF2_DBD,,timeout
CHEMBL1200386,IRF8_AF2_DBD,,timeout
CHEMBL1200910,IRF8_AF2_DBD,-5.687,ok
CHEMBL1200922,IRF8_AF2_DBD,-4.299,ok
CHEMBL1201073,IRF8_AF2_DBD,-3.352,ok
CHEMBL1200449,IRF8_AF2_DBD,,timeout
CHEMBL1200979,IRF8_AF2_DBD,-4.153,ok
CHEMBL1200545,IRF8_AF2_DBD,,timeout
CHEMBL1201012,IRF8_AF2_DBD,-6.658,ok
CHEMBL1201056,IRF8_AF2_DBD,-5.568,ok
CHEMBL1201189,IRF8_AF2_DBD,-1.103,ok
CHEMBL1200562,IRF8_AF2_DBD,,timeout
CHEMBL1201129,IRF8_AF2_DBD,-4.742,ok
CHEMBL1201151,IRF8_AF2_DBD,-6.652,ok
CHEMBL1201109,IRF8_AF2_DBD,-6.456,ok
CHEMBL1201168,IRF8_AF2_DBD,-6.04,ok
CHEMBL1201173,IRF8_AF2_DBD,-7.632,ok
CHEMBL1201148,IRF8_AF2_DBD,-6.613,ok
CHEMBL1201039,IRF8_AF2_DBD,-6.154,ok
CHEMBL1200865,IRF8_AF2_DBD,-6.076,ok
CHEMBL1201198,IRF8_AF2_DBD,-6.161,ok
CHEMBL1201117,IRF8_AF2_DBD,-5.335,ok
CHEMBL1201112,IRF8_AF2_DBD,-5.265,ok
CHEMBL1201010,IRF8_AF2_DBD,-6.838,ok
CHEMBL1201201,IRF8_AF2_DBD,-4.356,ok
CHEMBL1201208,IRF8_AF2_DBD,-4.709,ok
CHEMBL1201192,IRF8_AF2_DBD,-5.408,ok
CHEMBL1200877,IRF8_AF2_DBD,,timeout
CHEMBL1201234,IRF8_AF2_DBD,-4.308,ok
CHEMBL1200909,IRF8_AF2_DBD,,timeout
CHEMBL1201116,IRF8_AF2_DBD,-5.721,ok
CHEMBL1201193,IRF8_AF2_DBD,-5.351,ok
CHEMBL1200953,IRF8_AF2_DBD,,timeout
CHEMBL1200971,IRF8_AF2_DBD,-5.986,ok
CHEMBL1200975,IRF8_AF2_DBD,-7.241,ok
CHEMBL1201260,IRF8_AF2_DBD,-5.031,ok
CHEMBL1201269,IRF8_AF2_DBD,-4.643,ok
CHEMBL1201213,IRF8_AF2_DBD,-5.409,ok
CHEMBL1201227,IRF8_AF2_DBD,-5.904,ok
CHEMBL1201233,IRF8_AF2_DBD,-5.343,ok
CHEMBL1201235,IRF8_AF2_DBD,-5.942,ok
CHEMBL1201087,IRF8_AF2_DBD,,timeout
CHEMBL1201212,IRF8_AF2_DBD,-4.809,ok
CHEMBL1201319,IRF8_AF2_DBD,,ok
CHEMBL1201236,IRF8_AF2_DBD,-5.124,ok
CHEMBL1201323,IRF8_AF2_DBD,-3.685,ok
CHEMBL1201293,IRF8_AF2_DBD,-3.918,ok
CHEMBL1201308,IRF8_AF2_DBD,-5.167,ok
CHEMBL1201222,IRF8_AF2_DBD,-5.551,ok
CHEMBL1201242,IRF8_AF2_DBD,-5.802,ok
CHEMBL1201237,IRF8_AF2_DBD,-5.883,ok
CHEMBL1201266,IRF8_AF2_DBD,-5.758,ok
CHEMBL1201288,IRF8_AF2_DBD,-6.179,ok
CHEMBL1201191,IRF8_AF2_DBD,,timeout
CHEMBL1201232,IRF8_AF2_DBD,-5.292,ok
CHEMBL1201313,IRF8_AF2_DBD,-5.454,ok
CHEMBL1201320,IRF8_AF2_DBD,-6.177,ok
CHEMBL1201325,IRF8_AF2_DBD,-6.295,ok
CHEMBL1201754,IRF8_AF2_DBD,-5.774,ok
CHEMBL1201262,IRF8_AF2_DBD,-5.812,ok
CHEMBL1201273,IRF8_AF2_DBD,-5.53,ok
CHEMBL1201335,IRF8_AF2_DBD,-6.122,ok
CHEMBL1201338,IRF8_AF2_DBD,-5.436,ok
CHEMBL1201251,IRF8_AF2_DBD,,timeout
CHEMBL1201256,IRF8_AF2_DBD,,timeout
CHEMBL1201263,IRF8_AF2_DBD,,timeout
CHEMBL1201286,IRF8_AF2_DBD,-5.468,ok
CHEMBL1201356,IRF8_AF2_DBD,-6.242,ok
CHEMBL1201274,IRF8_AF2_DBD,-5.341,ok
CHEMBL1208642,IRF8_AF2_DBD,-3.145,ok
CHEMBL1201776,IRF8_AF2_DBD,-4.909,ok
CHEMBL1201864,IRF8_AF2_DBD,-6.813,ok
CHEMBL1201780,IRF8_AF2_DBD,-3.976,ok
CHEMBL1201345,IRF8_AF2_DBD,-4.834,ok
CHEMBL1208,IRF8_AF2_DBD,-5.636,ok
CHEMBL1201314,IRF8_AF2_DBD,,timeout
CHEMBL1201354,IRF8_AF2_DBD,-5.385,ok
CHEMBL1201347,IRF8_AF2_DBD,-6.406,ok
CHEMBL1215,IRF8_AF2_DBD,-4.499,ok
CHEMBL1213251,IRF8_AF2_DBD,-6.301,ok
CHEMBL1201328,IRF8_AF2_DBD,,timeout
CHEMBL1230314,IRF8_AF2_DBD,,ok
