compound,target,vina_score,status
CHEMBL1900528,IRF8_AF2_DBD,-5.962,ok
CHEMBL1983350,IRF8_AF2_DBD,-5.866,ok
CHEMBL1888176,IRF8_AF2_DBD,-6.819,ok
CHEMBL186,IRF8_AF2_DBD,,timeout
CHEMBL1863513,IRF8_AF2_DBD,,timeout
CHEMBL19490,IRF8_AF2_DBD,-5.843,ok
CHEMBL20,IRF8_AF2_DBD,-4.634,ok
CHEMBL1873475,IRF8_AF2_DBD,,timeout
CHEMBL2030434,IRF8_AF2_DBD,-4.096,ok
CHEMBL1909072,IRF8_AF2_DBD,-6.135,ok
CHEMBL1998966,IRF8_AF2_DBD,-6.268,ok
CHEMBL189963,IRF8_AF2_DBD,,timeout
CHEMBL193,IRF8_AF2_DBD,-5.175,ok
CHEMBL2096635,IRF8_AF2_DBD,-2.647,ok
CHEMBL2096648,IRF8_AF2_DBD,-2.657,ok
CHEMBL2042122,IRF8_AF2_DBD,-6.249,ok
CHEMBL2103827,IRF8_AF2_DBD,,ok
CHEMBL2068864,IRF8_AF2_DBD,-4.189,ok
CHEMBL21,IRF8_AF2_DBD,-4.225,ok
CHEMBL2103877,IRF8_AF2_DBD,,ok
CHEMBL207538,IRF8_AF2_DBD,-6.847,ok
CHEMBL2103837,IRF8_AF2_DBD,-6.707,ok
CHEMBL1909289,IRF8_AF2_DBD,,timeout
CHEMBL2,IRF8_AF2_DBD,-6.627,ok
CHEMBL2103822,IRF8_AF2_DBD,-5.648,ok
CHEMBL191,IRF8_AF2_DBD,,timeout
CHEMBL192,IRF8_AF2_DBD,,timeout
CHEMBL197084,IRF8_AF2_DBD,-5.233,ok
CHEMBL2104910,IRF8_AF2_DBD,-5.687,ok
CHEMBL2105275,IRF8_AF2_DBD,-4.155,ok
CHEMBL1929396,IRF8_AF2_DBD,,timeout
CHEMBL2104993,IRF8_AF2_DBD,-6.079,ok
CHEMBL2079130,IRF8_AF2_DBD,-6.049,ok
CHEMBL2105420,IRF8_AF2_DBD,-5.711,ok
CHEMBL198362,IRF8_AF2_DBD,-6.432,ok
CHEMBL2105233,IRF8_AF2_DBD,-4.649,ok
CHEMBL2043437,IRF8_AF2_DBD,-6.186,ok
CHEMBL2105566,IRF8_AF2_DBD,-5.054,ok
CHEMBL2105827,IRF8_AF2_DBD,-3.447,ok
CHEMBL2106794,IRF8_AF2_DBD,-6.075,ok
CHEMBL2028019,IRF8_AF2_DBD,-6.268,ok
CHEMBL2107826,IRF8_AF2_DBD,,ok
CHEMBL2005186,IRF8_AF2_DBD,,timeout
CHEMBL2018096,IRF8_AF2_DBD,,timeout
CHEMBL2106939,IRF8_AF2_DBD,-4.674,ok
CHEMBL2035187,IRF8_AF2_DBD,,timeout
CHEMBL2107797,IRF8_AF2_DBD,-6.872,ok
CHEMBL2105224,IRF8_AF2_DBD,-6.58,ok
CHEMBL204656,IRF8_AF2_DBD,,timeout
CHEMBL2110978,IRF8_AF2_DBD,-3.009,ok
CHEMBL211456,IRF8_AF2_DBD,,ok
CHEMBL2048484,IRF8_AF2_DBD,,timeout
CHEMBL2105762,IRF8_AF2_DBD,-6.916,ok
CHEMBL2105759,IRF8_AF2_DBD,-6.299,ok
CHEMBL2110962,IRF8_AF2_DBD,-4.916,ok
CHEMBL2105720,IRF8_AF2_DBD,-5.678,ok
CHEMBL2103870,IRF8_AF2_DBD,,timeout
CHEMBL2107726,IRF8_AF2_DBD,-5.653,ok
CHEMBL2105637,IRF8_AF2_DBD,-6.173,ok
CHEMBL2107381,IRF8_AF2_DBD,-5.441,ok
CHEMBL218490,IRF8_AF2_DBD,-5.454,ok
CHEMBL21731,IRF8_AF2_DBD,-6.145,ok
CHEMBL2105581,IRF8_AF2_DBD,-6.076,ok
CHEMBL21869,IRF8_AF2_DBD,-5.723,ok
CHEMBL2105497,IRF8_AF2_DBD,,timeout
CHEMBL221722,IRF8_AF2_DBD,-4.318,ok
CHEMBL2105760,IRF8_AF2_DBD,,timeout
CHEMBL2107175,IRF8_AF2_DBD,-4.995,ok
CHEMBL2110731,IRF8_AF2_DBD,-7.502,ok
CHEMBL220492,IRF8_AF2_DBD,-5.636,ok
CHEMBL22,IRF8_AF2_DBD,-5.756,ok
CHEMBL2181927,IRF8_AF2_DBD,-5.651,ok
CHEMBL215303,IRF8_AF2_DBD,-6.633,ok
CHEMBL2111112,IRF8_AF2_DBD,-6.154,ok
CHEMBL235668,IRF8_AF2_DBD,-5.497,ok
CHEMBL2107830,IRF8_AF2_DBD,,timeout
CHEMBL2107834,IRF8_AF2_DBD,,timeout
CHEMBL221959,IRF8_AF2_DBD,-6.336,ok
CHEMBL22242,IRF8_AF2_DBD,-5.399,ok
CHEMBL220491,IRF8_AF2_DBD,-5.334,ok
CHEMBL2111097,IRF8_AF2_DBD,,timeout
CHEMBL2348780,IRF8_AF2_DBD,-6.973,ok
CHEMBL2111101,IRF8_AF2_DBD,,timeout
CHEMBL2147777,IRF8_AF2_DBD,,timeout
CHEMBL2216870,IRF8_AF2_DBD,-6.529,ok
CHEMBL2368925,IRF8_AF2_DBD,-7.174,ok
CHEMBL2218861,IRF8_AF2_DBD,-6.319,ok
CHEMBL248702,IRF8_AF2_DBD,-5.627,ok
CHEMBL24944,IRF8_AF2_DBD,-5.663,ok
CHEMBL231068,IRF8_AF2_DBD,-7.006,ok
CHEMBL254468,IRF8_AF2_DBD,-3.552,ok
CHEMBL25,IRF8_AF2_DBD,-4.284,ok
CHEMBL2338329,IRF8_AF2_DBD,-6.37,ok
CHEMBL245807,IRF8_AF2_DBD,-6.406,ok
CHEMBL24,IRF8_AF2_DBD,-5.823,ok
CHEMBL2220442,IRF8_AF2_DBD,,timeout
CHEMBL256087,IRF8_AF2_DBD,-4.196,ok
CHEMBL2403238,IRF8_AF2_DBD,-6.752,ok
CHEMBL2364608,IRF8_AF2_DBD,-7.161,ok
CHEMBL240597,IRF8_AF2_DBD,-6.097,ok
CHEMBL267936,IRF8_AF2_DBD,-4.069,ok
CHEMBL231779,IRF8_AF2_DBD,,timeout
CHEMBL267894,IRF8_AF2_DBD,-5.035,ok
CHEMBL256997,IRF8_AF2_DBD,-6.767,ok
CHEMBL269644,IRF8_AF2_DBD,-4.077,ok
CHEMBL25202,IRF8_AF2_DBD,-6.268,ok
CHEMBL243712,IRF8_AF2_DBD,-5.7,ok
CHEMBL268164,IRF8_AF2_DBD,-5.616,ok
CHEMBL259571,IRF8_AF2_DBD,-5.783,ok
CHEMBL259209,IRF8_AF2_DBD,-4.783,ok
CHEMBL2364639,IRF8_AF2_DBD,,timeout
CHEMBL276832,IRF8_AF2_DBD,-5.199,ok
CHEMBL2443262,IRF8_AF2_DBD,-5.94,ok
CHEMBL237500,IRF8_AF2_DBD,,timeout
CHEMBL273575,IRF8_AF2_DBD,-6.249,ok
CHEMBL2396661,IRF8_AF2_DBD,,timeout
CHEMBL284348,IRF8_AF2_DBD,-3.177,ok
CHEMBL267744,IRF8_AF2_DBD,-5.8,ok
CHEMBL268869,IRF8_AF2_DBD,-5.952,ok
CHEMBL276520,IRF8_AF2_DBD,-6.026,ok
CHEMBL255044,IRF8_AF2_DBD,-5.917,ok
CHEMBL289480,IRF8_AF2_DBD,-4.223,ok
CHEMBL24828,IRF8_AF2_DBD,-6.688,ok
CHEMBL259972,IRF8_AF2_DBD,-5.972,ok
CHEMBL301265,IRF8_AF2_DBD,-4.66,ok
CHEMBL289469,IRF8_AF2_DBD,-6.719,ok
CHEMBL27,IRF8_AF2_DBD,-5.748,ok
CHEMBL278819,IRF8_AF2_DBD,-5.901,ok
CHEMBL30,IRF8_AF2_DBD,-5.023,ok
CHEMBL252556,IRF8_AF2_DBD,,timeout
CHEMBL254316,IRF8_AF2_DBD,,timeout
CHEMBL306700,IRF8_AF2_DBD,-5.148,ok
CHEMBL29,IRF8_AF2_DBD,-6.367,ok
CHEMBL277100,IRF8_AF2_DBD,-6.157,ok
CHEMBL267495,IRF8_AF2_DBD,,timeout
CHEMBL311498,IRF8_AF2_DBD,-6.037,ok
CHEMBL3112741,IRF8_AF2_DBD,-6.134,ok
CHEMBL31,IRF8_AF2_DBD,-5.564,ok
CHEMBL3039520,IRF8_AF2_DBD,-7.118,ok
CHEMBL3137308,IRF8_AF2_DBD,-6.195,ok
CHEMBL3137320,IRF8_AF2_DBD,-7.111,ok
CHEMBL270190,IRF8_AF2_DBD,,timeout
CHEMBL3039502,IRF8_AF2_DBD,-6.783,ok
CHEMBL27193,IRF8_AF2_DBD,,timeout
CHEMBL282724,IRF8_AF2_DBD,-5.954,ok
CHEMBL294199,IRF8_AF2_DBD,-5.738,ok
CHEMBL3237547,IRF8_AF2_DBD,-5.216,ok
CHEMBL3039507,IRF8_AF2_DBD,,timeout
CHEMBL313972,IRF8_AF2_DBD,-5.183,ok
CHEMBL315838,IRF8_AF2_DBD,-6.116,ok
CHEMBL33,IRF8_AF2_DBD,-6.276,ok
CHEMBL338802,IRF8_AF2_DBD,-5.239,ok
CHEMBL316157,IRF8_AF2_DBD,-5.937,ok
CHEMBL32,IRF8_AF2_DBD,-5.727,ok
CHEMBL3137312,IRF8_AF2_DBD,,timeout
CHEMBL354077,IRF8_AF2_DBD,-3.338,ok
CHEMBL341812,IRF8_AF2_DBD,-5.196,ok
CHEMBL33986,IRF8_AF2_DBD,-6.618,ok
CHEMBL316561,IRF8_AF2_DBD,-5.607,ok
CHEMBL314854,IRF8_AF2_DBD,,timeout
CHEMBL348000,IRF8_AF2_DBD,-6.314,ok
CHEMBL340978,IRF8_AF2_DBD,-6.407,ok
CHEMBL3400972,IRF8_AF2_DBD,-5.112,ok
CHEMBL3183075,IRF8_AF2_DBD,-4.823,ok
CHEMBL3304486,IRF8_AF2_DBD,-5.414,ok
CHEMBL3261331,IRF8_AF2_DBD,-7.276,ok
CHEMBL3183409,IRF8_AF2_DBD,-6.675,ok
CHEMBL317094,IRF8_AF2_DBD,,timeout
CHEMBL3187723,IRF8_AF2_DBD,-6.246,ok
CHEMBL3545253,IRF8_AF2_DBD,-6.407,ok
CHEMBL32800,IRF8_AF2_DBD,-5.922,ok
CHEMBL3546271,IRF8_AF2_DBD,-6.881,ok
CHEMBL3188267,IRF8_AF2_DBD,-7.23,ok
CHEMBL36,IRF8_AF2_DBD,-5.026,ok
CHEMBL3301607,IRF8_AF2_DBD,-6.349,ok
CHEMBL35,IRF8_AF2_DBD,-6.132,ok
CHEMBL3547132,IRF8_AF2_DBD,-5.173,ok
CHEMBL360328,IRF8_AF2_DBD,-3.875,ok
CHEMBL3353410,IRF8_AF2_DBD,,timeout
CHEMBL3590187,IRF8_AF2_DBD,-6.249,ok
CHEMBL363295,IRF8_AF2_DBD,-5.567,ok
CHEMBL3646221,IRF8_AF2_DBD,-6.136,ok
CHEMBL374731,IRF8_AF2_DBD,-5.313,ok
CHEMBL3655081,IRF8_AF2_DBD,-5.257,ok
CHEMBL3622821,IRF8_AF2_DBD,-6.46,ok
CHEMBL3544988,IRF8_AF2_DBD,-6.69,ok
CHEMBL3545110,IRF8_AF2_DBD,,timeout
CHEMBL3545185,IRF8_AF2_DBD,,timeout
CHEMBL361812,IRF8_AF2_DBD,-6.307,ok
CHEMBL3545367,IRF8_AF2_DBD,,timeout
CHEMBL3545376,IRF8_AF2_DBD,,timeout
CHEMBL384467,IRF8_AF2_DBD,-6.808,ok
CHEMBL385517,IRF8_AF2_DBD,-6.747,ok
CHEMBL376359,IRF8_AF2_DBD,-6.068,ok
CHEMBL395091,IRF8_AF2_DBD,-5.341,ok
CHEMBL376897,IRF8_AF2_DBD,-6.055,ok
CHEMBL361497,IRF8_AF2_DBD,,timeout
CHEMBL39736,IRF8_AF2_DBD,-4.217,ok
CHEMBL398707,IRF8_AF2_DBD,-6.024,ok
CHEMBL3716057,IRF8_AF2_DBD,-5.519,ok
CHEMBL3643413,IRF8_AF2_DBD,,timeout
CHEMBL403,IRF8_AF2_DBD,-4.615,ok
CHEMBL3701238,IRF8_AF2_DBD,,timeout
CHEMBL40,IRF8_AF2_DBD,-5.99,ok
CHEMBL405,IRF8_AF2_DBD,-4.122,ok
CHEMBL3707224,IRF8_AF2_DBD,,timeout
CHEMBL3989949,IRF8_AF2_DBD,-5.599,ok
CHEMBL3707247,IRF8_AF2_DBD,,timeout
CHEMBL3707348,IRF8_AF2_DBD,,timeout
CHEMBL3940890,IRF8_AF2_DBD,-5.99,ok
CHEMBL404,IRF8_AF2_DBD,-5.069,ok
CHEMBL4,IRF8_AF2_DBD,-5.961,ok
CHEMBL396778,IRF8_AF2_DBD,-6.102,ok
CHEMBL3889654,IRF8_AF2_DBD,-6.876,ok
CHEMBL404108,IRF8_AF2_DBD,-6.467,ok
CHEMBL3894860,IRF8_AF2_DBD,-7.028,ok
CHEMBL406,IRF8_AF2_DBD,-6.374,ok
CHEMBL3990047,IRF8_AF2_DBD,-6.545,ok
CHEMBL4085457,IRF8_AF2_DBD,-5.797,ok
CHEMBL419,IRF8_AF2_DBD,-4.53,ok
CHEMBL3989866,IRF8_AF2_DBD,-7.225,ok
CHEMBL408513,IRF8_AF2_DBD,-6.595,ok
CHEMBL420,IRF8_AF2_DBD,-5.136,ok
CHEMBL411,IRF8_AF2_DBD,-5.627,ok
CHEMBL3936761,IRF8_AF2_DBD,,timeout
CHEMBL41,IRF8_AF2_DBD,-6.312,ok
CHEMBL406393,IRF8_AF2_DBD,-6.064,ok
CHEMBL3989908,IRF8_AF2_DBD,,timeout
CHEMBL41355,IRF8_AF2_DBD,-6.076,ok
CHEMBL416956,IRF8_AF2_DBD,-7.34,ok
CHEMBL400599,IRF8_AF2_DBD,,timeout
CHEMBL4105630,IRF8_AF2_DBD,-7.443,ok
CHEMBL4101807,IRF8_AF2_DBD,-6.174,ok
CHEMBL4066936,IRF8_AF2_DBD,,timeout
CHEMBL426084,IRF8_AF2_DBD,-6.437,ok
CHEMBL4071161,IRF8_AF2_DBD,,timeout
CHEMBL425,IRF8_AF2_DBD,-6.257,ok
CHEMBL408,IRF8_AF2_DBD,,timeout
CHEMBL409,IRF8_AF2_DBD,,timeout
CHEMBL4297517,IRF8_AF2_DBD,-6.042,ok
CHEMBL426559,IRF8_AF2_DBD,-6.004,ok
CHEMBL4297620,IRF8_AF2_DBD,-4.921,ok
CHEMBL4298137,IRF8_AF2_DBD,-4.937,ok
CHEMBL418995,IRF8_AF2_DBD,,timeout
CHEMBL4279047,IRF8_AF2_DBD,-6.09,ok
CHEMBL428,IRF8_AF2_DBD,-6.403,ok
CHEMBL4297528,IRF8_AF2_DBD,-7.687,ok
CHEMBL4204794,IRF8_AF2_DBD,,timeout
CHEMBL4208229,IRF8_AF2_DBD,-6.425,ok
CHEMBL4297610,IRF8_AF2_DBD,-6.124,ok
CHEMBL423,IRF8_AF2_DBD,-5.378,ok
CHEMBL435,IRF8_AF2_DBD,-5.796,ok
CHEMBL434,IRF8_AF2_DBD,-5.08,ok
CHEMBL43452,IRF8_AF2_DBD,-6.578,ok
CHEMBL428880,IRF8_AF2_DBD,,timeout
CHEMBL435298,IRF8_AF2_DBD,-5.955,ok
CHEMBL437,IRF8_AF2_DBD,-5.082,ok
CHEMBL429,IRF8_AF2_DBD,,timeout
CHEMBL4297185,IRF8_AF2_DBD,-6.736,ok
CHEMBL438,IRF8_AF2_DBD,-6.089,ok
CHEMBL43,IRF8_AF2_DBD,-7.047,ok
CHEMBL4297522,IRF8_AF2_DBD,,timeout
CHEMBL441,IRF8_AF2_DBD,-4.539,ok
CHEMBL4297590,IRF8_AF2_DBD,,timeout
CHEMBL440,IRF8_AF2_DBD,-4.432,ok
CHEMBL430,IRF8_AF2_DBD,-6.608,ok
CHEMBL439,IRF8_AF2_DBD,-5.409,ok
CHEMBL443,IRF8_AF2_DBD,-5.522,ok
CHEMBL450,IRF8_AF2_DBD,-4.434,ok
CHEMBL449,IRF8_AF2_DBD,-4.602,ok
CHEMBL448,IRF8_AF2_DBD,-4.804,ok
CHEMBL4303214,IRF8_AF2_DBD,-6.174,ok
CHEMBL446,IRF8_AF2_DBD,-6.145,ok
CHEMBL447,IRF8_AF2_DBD,-5.004,ok
CHEMBL4298138,IRF8_AF2_DBD,,timeout
CHEMBL429910,IRF8_AF2_DBD,,timeout
CHEMBL4594246,IRF8_AF2_DBD,,ok
CHEMBL436,IRF8_AF2_DBD,-5.87,ok
CHEMBL4594261,IRF8_AF2_DBD,,ok
CHEMBL4299940,IRF8_AF2_DBD,,timeout
CHEMBL45,IRF8_AF2_DBD,-5.591,ok
CHEMBL455,IRF8_AF2_DBD,-4.66,ok
CHEMBL454,IRF8_AF2_DBD,-4.582,ok
CHEMBL453,IRF8_AF2_DBD,-5.883,ok
CHEMBL431,IRF8_AF2_DBD,,timeout
CHEMBL44884,IRF8_AF2_DBD,-4.059,ok
CHEMBL462547,IRF8_AF2_DBD,-3.03,ok
CHEMBL459,IRF8_AF2_DBD,-5.128,ok
CHEMBL457,IRF8_AF2_DBD,-5.743,ok
CHEMBL467,IRF8_AF2_DBD,-3.365,ok
CHEMBL456,IRF8_AF2_DBD,-5.581,ok
CHEMBL434394,IRF8_AF2_DBD,,timeout
CHEMBL460,IRF8_AF2_DBD,-5.595,ok
CHEMBL455186,IRF8_AF2_DBD,-3.959,ok
CHEMBL468,IRF8_AF2_DBD,-6.265,ok
CHEMBL463,IRF8_AF2_DBD,-4.812,ok
CHEMBL4585668,IRF8_AF2_DBD,-6.706,ok
CHEMBL46917,IRF8_AF2_DBD,-5.6,ok
CHEMBL439849,IRF8_AF2_DBD,,timeout
CHEMBL451,IRF8_AF2_DBD,-5.149,ok
CHEMBL461522,IRF8_AF2_DBD,-5.845,ok
CHEMBL469,IRF8_AF2_DBD,-6.164,ok
CHEMBL476,IRF8_AF2_DBD,-4.081,ok
CHEMBL4435170,IRF8_AF2_DBD,,timeout
CHEMBL445,IRF8_AF2_DBD,,timeout
CHEMBL471,IRF8_AF2_DBD,-4.998,ok
CHEMBL485,IRF8_AF2_DBD,-6.095,ok
CHEMBL452,IRF8_AF2_DBD,,timeout
CHEMBL477,IRF8_AF2_DBD,-5.393,ok
CHEMBL488,IRF8_AF2_DBD,-5.659,ok
CHEMBL485696,IRF8_AF2_DBD,-6.083,ok
CHEMBL4594250,IRF8_AF2_DBD,,timeout
CHEMBL4594287,IRF8_AF2_DBD,,timeout
CHEMBL468837,IRF8_AF2_DBD,-4.328,ok
CHEMBL473417,IRF8_AF2_DBD,-6.903,ok
CHEMBL4594448,IRF8_AF2_DBD,,timeout
CHEMBL4596392,IRF8_AF2_DBD,,timeout
CHEMBL461101,IRF8_AF2_DBD,,timeout
CHEMBL498847,IRF8_AF2_DBD,-4.178,ok
CHEMBL5,IRF8_AF2_DBD,-5.177,ok
CHEMBL498,IRF8_AF2_DBD,-5.022,ok
CHEMBL494753,IRF8_AF2_DBD,-6.859,ok
CHEMBL503565,IRF8_AF2_DBD,-5.095,ok
CHEMBL490,IRF8_AF2_DBD,-6.716,ok
CHEMBL480,IRF8_AF2_DBD,-6.155,ok
CHEMBL4650215,IRF8_AF2_DBD,,timeout
CHEMBL492,IRF8_AF2_DBD,-5.126,ok
CHEMBL513,IRF8_AF2_DBD,-3.742,ok
CHEMBL472,IRF8_AF2_DBD,,timeout
CHEMBL500,IRF8_AF2_DBD,-5.743,ok
CHEMBL514,IRF8_AF2_DBD,-4.803,ok
CHEMBL487253,IRF8_AF2_DBD,-5.201,ok
CHEMBL509,IRF8_AF2_DBD,-5.854,ok
CHEMBL477772,IRF8_AF2_DBD,,timeout
CHEMBL506,IRF8_AF2_DBD,-5.102,ok
CHEMBL499,IRF8_AF2_DBD,-5.016,ok
CHEMBL4802135,IRF8_AF2_DBD,,timeout
CHEMBL483254,IRF8_AF2_DBD,,timeout
CHEMBL521,IRF8_AF2_DBD,-5.35,ok
CHEMBL526,IRF8_AF2_DBD,-4.598,ok
CHEMBL524,IRF8_AF2_DBD,-4.922,ok
CHEMBL488093,IRF8_AF2_DBD,,timeout
CHEMBL53,IRF8_AF2_DBD,-6.568,ok
CHEMBL517712,IRF8_AF2_DBD,-5.87,ok
CHEMBL515,IRF8_AF2_DBD,-4.902,ok
CHEMBL494,IRF8_AF2_DBD,,timeout
CHEMBL515408,IRF8_AF2_DBD,-5.537,ok
CHEMBL515387,IRF8_AF2_DBD,-6.225,ok
CHEMBL53418,IRF8_AF2_DBD,-5.607,ok
CHEMBL537,IRF8_AF2_DBD,-3.847,ok
CHEMBL527,IRF8_AF2_DBD,-6.264,ok
CHEMBL539,IRF8_AF2_DBD,-2.601,ok
CHEMBL545,IRF8_AF2_DBD,-2.122,ok
CHEMBL544,IRF8_AF2_DBD,-3.918,ok
CHEMBL531,IRF8_AF2_DBD,-5.675,ok
CHEMBL503,IRF8_AF2_DBD,,timeout
CHEMBL53292,IRF8_AF2_DBD,-6.241,ok
CHEMBL517,IRF8_AF2_DBD,-5.621,ok
CHEMBL50588,IRF8_AF2_DBD,,timeout
CHEMBL54976,IRF8_AF2_DBD,-5.462,ok
CHEMBL521606,IRF8_AF2_DBD,-5.903,ok
CHEMBL524004,IRF8_AF2_DBD,-6.233,ok
CHEMBL512351,IRF8_AF2_DBD,,timeout
CHEMBL558,IRF8_AF2_DBD,-4.592,ok
CHEMBL56021,IRF8_AF2_DBD,-4.072,ok
CHEMBL514800,IRF8_AF2_DBD,,timeout
CHEMBL528,IRF8_AF2_DBD,-5.947,ok
CHEMBL557555,IRF8_AF2_DBD,-5.224,ok
CHEMBL518924,IRF8_AF2_DBD,-6.415,ok
CHEMBL563,IRF8_AF2_DBD,-6.182,ok
CHEMBL521686,IRF8_AF2_DBD,-6.925,ok
CHEMBL57,IRF8_AF2_DBD,-6.689,ok
CHEMBL573,IRF8_AF2_DBD,-3.986,ok
CHEMBL561,IRF8_AF2_DBD,-6.21,ok
CHEMBL546,IRF8_AF2_DBD,-5.273,ok
CHEMBL56337,IRF8_AF2_DBD,-5.255,ok
CHEMBL572,IRF8_AF2_DBD,-5.352,ok
CHEMBL56367,IRF8_AF2_DBD,-5.84,ok
CHEMBL582,IRF8_AF2_DBD,-2.517,ok
CHEMBL569,IRF8_AF2_DBD,-4.872,ok
CHEMBL571,IRF8_AF2_DBD,-6.251,ok
CHEMBL578767,IRF8_AF2_DBD,-5.635,ok
CHEMBL576127,IRF8_AF2_DBD,-6.688,ok
CHEMBL569713,IRF8_AF2_DBD,-6.011,ok
CHEMBL579205,IRF8_AF2_DBD,-6.31,ok
CHEMBL530,IRF8_AF2_DBD,,timeout
CHEMBL54,IRF8_AF2_DBD,-6.498,ok
CHEMBL550348,IRF8_AF2_DBD,-7.098,ok
CHEMBL589586,IRF8_AF2_DBD,-3.809,ok
CHEMBL591,IRF8_AF2_DBD,-3.85,ok
CHEMBL535,IRF8_AF2_DBD,,timeout
CHEMBL59,IRF8_AF2_DBD,-4.404,ok
CHEMBL585,IRF8_AF2_DBD,-6.293,ok
CHEMBL55,IRF8_AF2_DBD,,timeout
CHEMBL575,IRF8_AF2_DBD,-5.796,ok
CHEMBL58323,IRF8_AF2_DBD,-5.382,ok
CHEMBL553,IRF8_AF2_DBD,,timeout
CHEMBL602,IRF8_AF2_DBD,-2.053,ok
CHEMBL583,IRF8_AF2_DBD,-6.031,ok
CHEMBL600,IRF8_AF2_DBD,-3.466,ok
CHEMBL568,IRF8_AF2_DBD,-5.016,ok
CHEMBL601,IRF8_AF2_DBD,-3.718,ok
CHEMBL567,IRF8_AF2_DBD,-5.985,ok
CHEMBL589,IRF8_AF2_DBD,-5.48,ok
CHEMBL599,IRF8_AF2_DBD,-5.954,ok
CHEMBL614,IRF8_AF2_DBD,-3.719,ok
CHEMBL61006,IRF8_AF2_DBD,-4.225,ok
CHEMBL612,IRF8_AF2_DBD,-4.096,ok
CHEMBL597,IRF8_AF2_DBD,-6.225,ok
CHEMBL607400,IRF8_AF2_DBD,-4.682,ok
CHEMBL609,IRF8_AF2_DBD,-3.295,ok
CHEMBL625,IRF8_AF2_DBD,-5.158,ok
CHEMBL607710,IRF8_AF2_DBD,-5.323,ok
CHEMBL571546,IRF8_AF2_DBD,,timeout
CHEMBL6,IRF8_AF2_DBD,-6.031,ok
CHEMBL638,IRF8_AF2_DBD,,ok
CHEMBL580,IRF8_AF2_DBD,-5.092,ok
CHEMBL61593,IRF8_AF2_DBD,-7.132,ok
CHEMBL577,IRF8_AF2_DBD,,timeout
CHEMBL64,IRF8_AF2_DBD,-4.415,ok
CHEMBL578,IRF8_AF2_DBD,,timeout
CHEMBL622,IRF8_AF2_DBD,-5.893,ok
CHEMBL61,IRF8_AF2_DBD,-6.24,ok
CHEMBL62193,IRF8_AF2_DBD,-5.779,ok
CHEMBL611,IRF8_AF2_DBD,-6.109,ok
CHEMBL659,IRF8_AF2_DBD,,ok
CHEMBL635,IRF8_AF2_DBD,-7.572,ok
CHEMBL595,IRF8_AF2_DBD,-6.252,ok
CHEMBL677,IRF8_AF2_DBD,,ok
CHEMBL588,IRF8_AF2_DBD,,timeout
CHEMBL647,IRF8_AF2_DBD,-4.566,ok
CHEMBL660,IRF8_AF2_DBD,-4.427,ok
CHEMBL637,IRF8_AF2_DBD,-5.386,ok
CHEMBL632,IRF8_AF2_DBD,-6.245,ok
CHEMBL615,IRF8_AF2_DBD,-5.986,ok
CHEMBL620,IRF8_AF2_DBD,-6.702,ok
CHEMBL656,IRF8_AF2_DBD,-6.779,ok
CHEMBL696,IRF8_AF2_DBD,-4.209,ok
CHEMBL593,IRF8_AF2_DBD,,timeout
CHEMBL640,IRF8_AF2_DBD,-5.034,ok
CHEMBL63857,IRF8_AF2_DBD,-6.517,ok
CHEMBL692,IRF8_AF2_DBD,-3.228,ok
CHEMBL641,IRF8_AF2_DBD,-5.555,ok
CHEMBL691,IRF8_AF2_DBD,-6.618,ok
CHEMBL679,IRF8_AF2_DBD,-4.616,ok
CHEMBL617,IRF8_AF2_DBD,-5.792,ok
CHEMBL668,IRF8_AF2_DBD,-5.927,ok
CHEMBL70,IRF8_AF2_DBD,-6.14,ok
CHEMBL686,IRF8_AF2_DBD,-6.057,ok
CHEMBL70927,IRF8_AF2_DBD,-4.257,ok
CHEMBL704,IRF8_AF2_DBD,-4.555,ok
CHEMBL605846,IRF8_AF2_DBD,,timeout
CHEMBL71595,IRF8_AF2_DBD,-2.028,ok
CHEMBL685,IRF8_AF2_DBD,-6.34,ok
CHEMBL701,IRF8_AF2_DBD,-4.97,ok
CHEMBL700,IRF8_AF2_DBD,-5.481,ok
CHEMBL720,IRF8_AF2_DBD,-3.904,ok
CHEMBL727,IRF8_AF2_DBD,-4.064,ok
CHEMBL734,IRF8_AF2_DBD,-3.27,ok
CHEMBL680,IRF8_AF2_DBD,-5.893,ok
CHEMBL70046,IRF8_AF2_DBD,-5.157,ok
CHEMBL698,IRF8_AF2_DBD,-5.049,ok
CHEMBL6995,IRF8_AF2_DBD,-5.468,ok
CHEMBL710,IRF8_AF2_DBD,-6.486,ok
CHEMBL631,IRF8_AF2_DBD,,timeout
CHEMBL713,IRF8_AF2_DBD,-6.0,ok
CHEMBL714,IRF8_AF2_DBD,-5.165,ok
CHEMBL742,IRF8_AF2_DBD,-5.526,ok
CHEMBL741,IRF8_AF2_DBD,-5.416,ok
CHEMBL744,IRF8_AF2_DBD,-5.145,ok
CHEMBL760,IRF8_AF2_DBD,-5.643,ok
CHEMBL750,IRF8_AF2_DBD,-5.299,ok
CHEMBL642,IRF8_AF2_DBD,-5.122,ok
CHEMBL7413,IRF8_AF2_DBD,-5.32,ok
CHEMBL645,IRF8_AF2_DBD,,timeout
CHEMBL761,IRF8_AF2_DBD,-6.05,ok
CHEMBL771,IRF8_AF2_DBD,-3.806,ok
CHEMBL770,IRF8_AF2_DBD,-4.536,ok
