state,ARX(+),BACH1(+),CUX1(+),E2F1(+),E2F2(+),E2F7(+),E2F8(+),ELF1(+),ELF2(+),ETV6(+),FLI1(+),FOSL2(+),FOXC1(+),FOXF1(+),GATA2(+),HIF1A(+),HNF1A(+),HOXA1(+),HOXB2(+),IKZF1(+),JUND(+),LHX6(+),MITF(+),MYBL1(+),MYBL2(+),MYCN(+),NFAT5(+),NFATC2(+),NFIB(+),NFIC(+),NFKB1(+),OTX1(+),PAX6(+),PBX1(+),POU2F2(+),POU3F3(+),RFX4(+),SOX18(+),STAT3(+),TCF4(+),TFAP2A(+),THRA(+),THRB(+),VAX1(+),ZBTB20(+),ZNF148(+)
DAM,0.007610018439814844,0.389751013360972,0.11522426254250073,0.013496649350173489,0.018013971979275758,0.021435688359605146,0.017947214116371003,0.11103898069139115,0.13963796680166746,0.08299201124034465,0.22872039088227072,0.06938496807677946,0.004674033843690995,0.0015142669496991802,0.00479444996305722,0.11807908680266674,0.007634948040664422,0.006247758348612137,0.007330459578441836,0.14104725169326726,0.005789350590711316,0.00650406557156824,0.03986818033720548,0.004476193483335754,0.010875337416848114,0.004745878827682456,0.04632053163396546,0.09773519586748007,0.026713569961671867,0.03347770400623922,0.06340814580181083,0.037837489738116736,0.0029239207656312164,0.03415227176735819,0.09491041002753917,0.00766749912307543,0.008919934299069837,0.00233636628994153,0.07950017824580258,0.4037651194856371,0.01176017978819473,0.003455412117231754,0.06300170140877885,0.004525632474071642,0.13471806273090892,0.4720101861461007
DAM-IRM,0.00978191859296194,0.49054990287575895,0.12504297144458354,0.014391678110876866,0.01859886447618678,0.021544193402480795,0.018309291064436278,0.10761476840270875,0.13185098922838115,0.08413685669674856,0.2164705619978069,0.0713706587882092,0.00498621502482064,0.0024782677548972555,0.005629553974296824,0.11567876418479163,0.00777281854660551,0.0071827536577437415,0.005197962255452009,0.1451679360428705,0.007532759514955099,0.00815882332818563,0.03668175115176129,0.0052650808125666,0.012683307578412942,0.00715509707339067,0.04620517566549033,0.1033335816459788,0.034745889226384795,0.044311263737608984,0.07131320166249548,0.033072227213093636,0.004377624890508683,0.04622570715517727,0.113434128869676,0.009563179141602304,0.012228000812373472,0.003236495361126272,0.10435634571237233,0.40813766463583573,0.011183691159255852,0.004304835645895978,0.07479615689244246,0.006342776815387101,0.12547389836651085,0.4519465711288595
Homeostatic,0.008078037449186195,0.3681175043641887,0.1279116602693054,0.013961065378230329,0.019219049143576892,0.0226312060952134,0.018727189599868646,0.11921511975331983,0.15557300324196877,0.0832601129821445,0.21873970786785288,0.10679043269156605,0.006436872293636219,0.002626687783186457,0.0053527978417103085,0.15514994435426757,0.008623168363221414,0.006488290371579497,0.007305787934435149,0.12004765891890841,0.007623286939997816,0.0062019913478799414,0.11271534154027522,0.005101130009516053,0.011089415873769964,0.005762089369516425,0.04185377133918248,0.09231028958126304,0.030672742902053244,0.040492946513813,0.08070602030883428,0.04889053934571176,0.0038691214247223225,0.03737187750337528,0.0824616209019392,0.011802596460421396,0.011337868929380865,0.00391097810726458,0.10674394300070693,0.4726302733517588,0.01587912461611707,0.010078638524261867,0.10218120549765557,0.00823618762610805,0.12642600268405965,0.43894155092079207
IRM,0.00741336098819017,0.3899052420836089,0.1259652685015755,0.013186092837008286,0.018097594798270764,0.021672356475780866,0.017963622152017567,0.11524035707246356,0.1435815936819439,0.08325650299426214,0.22489862583870193,0.0816100837793987,0.004990212164997265,0.002857345774251218,0.004844575710822129,0.13472404416825579,0.008100641637890921,0.006950532929520512,0.00762240099919183,0.1335237799497379,0.00695588149513651,0.0069706921540732426,0.0935864129503098,0.0045252011476388816,0.010900774212838533,0.005080812088261945,0.050635597025281844,0.09682115135745206,0.029247161711524177,0.04097614130183375,0.07405805329313489,0.04010484657017608,0.0032780481096548984,0.037024943559424754,0.09703974726324296,0.009179608887345278,0.010370267957660507,0.0033561906627809206,0.09051227876442776,0.4010754046971812,0.012527503207247532,0.004651499195911803,0.07511535800474668,0.005829067992391774,0.13241833600334824,0.4597854005551775
LAM,0.008471566740334117,0.34023931623931625,0.1365857537878238,0.012108558818789571,0.01635630608565442,0.020829115826195798,0.017609221657414426,0.11608732701378471,0.1655239762468678,0.0826959626821273,0.19967628418003644,0.15242349407519176,0.005581711461229534,0.007980581667328655,0.005968950674492843,0.23442858613942952,0.004860810764425222,0.005352921658142541,0.007257542992482751,0.11865675990491854,0.011451763230076484,0.012331095945553776,0.06856060137987849,0.005061138703400057,0.011622210233970708,0.006815693543404387,0.07509298733395119,0.09042630204022531,0.02996965382899118,0.044251453677959705,0.10491741283569465,0.05034266295953043,0.004020405091767464,0.037480761426026646,0.08633470946723959,0.010114914982384862,0.011960095237203672,0.007873957367933272,0.1251780380262308,0.4127764390896921,0.015226127389241385,0.005701300930216593,0.07097001442239377,0.00512628290941544,0.12186117096833579,0.4516181022865151
LateAD-DAM,0.0049891038800590785,0.4760787344523609,0.13208960756774019,0.11444240815371379,0.09493243202671896,0.09266872390383503,0.0982296677681293,0.11282400449670976,0.14987012840639213,0.08762317152227499,0.23647875334068585,0.06484859529414974,0.0029536690415811295,0.001422878534338503,0.003575374954715614,0.10316629868409431,0.006919212655476391,0.0038202578861919524,0.005138087187537737,0.15264952455313943,0.003918402476644235,0.004066351231186397,0.03948261079579761,0.10042181205663876,0.05890783253158192,0.002929694481342833,0.04403461739725476,0.10663256939587436,0.024900462907056314,0.03944749560573736,0.06335758842208915,0.022562878879362393,0.003103155508903607,0.02838098443747094,0.09824390993621764,0.010956486736706517,0.0059596081574103555,0.0015477465147794819,0.08009486776959304,0.44254505933626814,0.009247786870779262,0.003214748621342028,0.0634504536534127,0.005016865917964819,0.1354329576630006,0.48769606695263645
