gene,spearman_r
LDHA,0.8247848537005164
NAMPT,0.8202490634808141
PPP1R3B,0.8164827376733826
FOSL2,0.7981978333502076
PGK1,0.7940872734636024
ENO1,0.773979953427154
INAFM2,0.7569504910397895
ERO1A,0.7549458337551889
PPARD,0.7544801052951301
TFRC,0.7535891465019743
AL049651.1,0.7494467469924168
CEMIP2,0.743606358205933
HIF1A,0.7424926597144882
MCL1,0.740224764604637
GK,0.737288650399919
SLC7A5,0.732388377037562
SNHG12,0.7296547534676522
LPCAT1,0.7275083527386859
PLAUR,0.7269818770881846
AMPD2,0.7226283284398096
VMP1,0.7192872329654755
AC104695.4,0.7187145635687023
SLC16A3,0.713010023286423
PDE4B,0.7066113192264858
PLSCR1,0.7060038473220613
EDEM1,0.7016502986736864
METRNL,0.7009820795788195
TMEM70,0.7003138604839527
SOCS3,0.6994229016907968
STAT3,0.6989166751037765
VEGFA,0.6980054672471399
LIMK2,0.6960413080895009
GRAMD4,0.6959603118355777
TYMP,0.6954743343120381
RAB20,0.6936721676622456
PAPOLG,0.6930241976308597
BCL3,0.6869089804596538
GLUL,0.6869089804596538
ADGRE1,0.6845195909689177
DARS,0.680449529209274
FLOT1,0.6802065404475044
FAM110B,0.6793358307178293
VDR,0.6787081097499241
TNFRSF1B,0.6769261921636125
SLC2A3,0.6761769768148224
THBD,0.6744153082919915
SFXN1,0.66989976713577
CCNL1,0.66815834767642
MIR3945HG,0.6678748607876885
IKBKE,0.6674091323276299
REL,0.6640680368532956
IGF2R,0.6628935911714083
PPIF,0.662286119266984
LINC01303,0.6595119975701125
PPA1,0.6589045256656879
YBX3,0.6584995443960717
SNAPC1,0.6580338159360131
NOD2,0.6579123215551281
IFITM2,0.6571023590158956
SECTM1,0.6557254226992002
STX12,0.6540852485572543
YEATS2,0.6532550369545409
UBXN2B,0.6523033309709426
MFSD14A,0.6515338665586717
LITAF,0.6507644021464007
SRGN,0.6492254733218589
C5AR1,0.6489622354966083
IFITM3,0.6481725220208565
SLC2A1,0.6461273666092944
ITGAV,0.6459451250379671
RNF144B,0.6454591475144276
TPM4,0.6449326718639262
MPP1,0.6445276905943099
NIBAN2,0.6436569808646351
HAMP,0.6431102561506531
PLEKHB2,0.642239546420978
TBC1D8,0.6419763085957275
CLIC4,0.6417535688974385
FBXL5,0.6411258479295333
C4orf3,0.6403766325807432
UGCG,0.640072896628531
DHRS13,0.6393236812797408
GNA13,0.6392831831527792
AQP9,0.6391819378353751
ARMCX3,0.6390401943910095
ACSL1,0.6388377037562013
BAZ1A,0.6380277412169687
UBA6,0.6370557861698897
AC112496.1,0.6358003442340792
HEATR3,0.6353346157740204
HIF1A-AS3,0.634949883567885
TSEN34,0.6342209172825757
U62317.4,0.6338159360129594
GZF1,0.630819074617799
GPAT4,0.6304748405386251
GRPEL1,0.6304343424116634
H3F3A,0.630373595221221
RANBP2,0.6298471195707198
AC084871.1,0.6295838817454694
RNF149,0.628409436063582
OTUD4,0.627660220714792
PTPN1,0.62711349600081
FAM162A,0.6270324997468868
ADM,0.6264782116949402
BCL6,0.6262022881441734
PKM,0.6254530727953832
GTPBP1,0.624501366811785
CNEP1R1,0.624278627113496
NSMAF,0.6237521514629948
FPR1,0.6231649286220512
RBPJ,0.6229826870507239
PTP4A2,0.6217677432418751
PRKAR1A,0.6214640072896629
SOD2,0.6210387769565657
MAP3K8,0.620795788194796
IFI30,0.6197428368937936
ADGRE2,0.6192163612432925
ELOC,0.6187708818467146
PRELID1,0.6183456515136175
MB21D2,0.6181229118153285
PGS1,0.6180621646248862
THEMIS2,0.6178799230535588
LONRF3,0.6177786777361548
MAFF,0.6168674698795181
FAM210A,0.6165232358003443
ANP32E,0.6163814923559785
COPA,0.6158752657689582
TREM1,0.6158752657689582
OSM,0.6151260504201681
PPP1CB,0.6150045560392833
GK-IT1,0.6142567872720192
SREBF1,0.6137491141034728
BASP1,0.6132226384529715
PIM3,0.6126961628024704
RGS16,0.6126759137389896
MYO1G,0.6120684418345652
EFR3A,0.6120279437076035
LMNB1,0.6119064493267187
ELL,0.6117242077553914
MYO10,0.6110964867874862
MPHOSPH6,0.6110154905335629
ZFP36,0.6104282676926193
INPP4A,0.6097600485977523
GPI,0.6096993014073099
GOLPH3,0.6091930748202896
B4GALT5,0.6078566366305559
SLCO4A1,0.606641692821707
HILPDA,0.6061152171712059
SERPINA1,0.6060544699807635
JUNB,0.6060544699807635
MTFP1,0.6053862508858966
ASAP1,0.6053660018224157
GLA,0.6047180317910297
SCO2,0.6046977827275489
USP36,0.6041713070770477
CHSY1,0.6028551179507948
HBEGF,0.6020046572846006
UBA2,0.6009719550470791
MBOAT7,0.6008707097296749
DSE,0.6006277209679052
HNRNPK,0.6003239850156931
PTPN2,0.5999797509365191
IL4R,0.599898754682596
TBC1D2B,0.5994937734129797
TCAF2,0.5992740674070278
ARFGAP3,0.5991697883972866
NECTIN2,0.5991697883972866
SH2B2,0.5990077958894401
SEMA6B,0.5974891161283791
VAPA,0.5963146704464919
G0S2,0.5956968569371054
VPS26A,0.5942087678444872
RRBP1,0.5939050318922751
NFIL3,0.5935607978131011
HPS5,0.5933583071782931
SLC25A19,0.5930748202895616
ARHGAP18,0.592487597448618
ZNF511,0.5899564645135162
AC020916.1,0.589774222942189
ALDOA,0.5892072491647262
TPI1,0.5885997772603018
SYNGR2,0.5882352941176471
TOM1,0.5877898147210691
CDKN1A,0.5871823428166447
GLIPR2,0.5870203503087982
IFNAR1,0.5867368634200668
SBNO2,0.585845904626911
IFNAR2,0.5853599271033715
AC007728.3,0.5853031366958283
MFSD2A,0.5852789308494482
AC061992.2,0.5838948258393427
AGFG1,0.5828692922952313
AC004847.1,0.5827931813311552
MTMR6,0.5821808241368837
LILRB3,0.5818365900577098
CYTH1,0.5815733522324593
BNIP2,0.5806621443758226
SLC43A3,0.5801154196618407
PPP4R1,0.5795484458843779
SIPA1L1,0.5793459552495698
