state,BACH1(+),CUX1(+),DBX2(+),E2F1(+),E2F2(+),E2F7(+),E2F8(+),ELF1(+),ELF2(+),ETV6(+),FLI1(+),FOSL2(+),FOXC1(+),GATA2(+),HOXB2(+),IKZF1(+),JUND(+),LEF1(+),MAF(+),MYBL1(+),MYCN(+),NFATC2(+),NFIB(+),NFIC(+),NFKB1(+),PAX6(+),PBX1(+),POU2F2(+),RFX4(+),STAT3(+),TFAP2A(+),THRA(+),VAX1(+),ZBTB20(+),ZNF148(+)
DAM,0.20417104609637962,0.07422668742802815,0.0012602362285526639,0.008513666176556047,0.016731569994620936,0.017971715531858168,0.024079306642749237,0.14426942630147846,0.12094371586046641,0.0816976829674221,0.1664712823945665,0.06748187219032722,0.01211035059154056,0.007178200534790716,0.011468122485838603,0.6288974108128325,0.006182089666381289,0.01327133914007203,0.09026158438346606,0.008743545275428947,0.0041998501765043925,0.0872226922723711,0.03924030870763049,0.0837701973103604,0.05072551833992295,0.004153864332039359,0.03041706108133536,0.11713418284623595,0.013941567553977506,0.03372810285143529,0.008629372588457435,0.002141960840653477,0.004166887724735243,0.18848714027510524,0.20882873870890337
DAM-IRM,0.27142675883016987,0.08213755863713997,0.00231620127261571,0.009334394322552278,0.017095931447807692,0.018391754275619777,0.02364839433651886,0.14012678302406897,0.11474746597633614,0.08313841977234213,0.15717744414119472,0.06923549864820806,0.01235267669536763,0.009964252661533522,0.00935472252396143,0.649849815074089,0.0074907616145111185,0.015171548426740584,0.05827463277544808,0.009232085637003886,0.005792235176572579,0.08977634554955305,0.05241114885118338,0.09753791235427126,0.05742002569829258,0.006512527937445306,0.041385991433781306,0.14355570321001548,0.01794842898937033,0.04374355584333108,0.00962335863422638,0.0025895169100140234,0.005575063647735632,0.1670528698000168,0.20259154295551357
Homeostatic,0.21457929220793942,0.08578682783987823,0.0029028089505543082,0.009139736317157114,0.01828120257043017,0.019140233386733898,0.024931310673144975,0.15360384685229955,0.13471635245060878,0.08144032613828144,0.1576471765676957,0.10744704855384739,0.016780813187532904,0.00884542513189728,0.00977293781962217,0.44262196931339287,0.009988670922357924,0.018325038664099902,0.04849162302477952,0.009637294624032023,0.004719515085562831,0.08158476924667153,0.04514148417534281,0.0737141286358793,0.06001978125707977,0.008279479082662106,0.03472008699948576,0.0718016096488245,0.017968538976496536,0.058238122227512144,0.009997379219660388,0.002935564170577433,0.005035196898592124,0.1676781591290228,0.19053808003662748
IRM,0.2121402517571572,0.08495338031441184,0.0018306271887933779,0.00831185175462565,0.016613475565380797,0.018035737329518714,0.024350726771909297,0.15017779130260908,0.12537517042946492,0.08162294063007487,0.1628899060671216,0.08210662299713724,0.013539457464958899,0.008242804314437552,0.013277549321102328,0.5779762447040384,0.008098728502739964,0.015140254206156785,0.05139776038988073,0.009267268654088138,0.00469076482256998,0.08485512523088687,0.04312729995875116,0.09305291675850415,0.05545079300490365,0.005356910901896575,0.033558010152852556,0.10719841794626894,0.015620713813407223,0.04186824382239855,0.009940180736169275,0.002633611702952677,0.0065421350378370435,0.18150124527788933,0.20045144097525053
LAM,0.19474871794871793,0.09842412199038705,0.003448254556688292,0.0060040889573852885,0.015994196456703202,0.016611669322631983,0.021988281781439818,0.15132818562791084,0.13906906877039113,0.08145062009161952,0.1463200651901168,0.14973849204413567,0.01952248118780917,0.0069715344896067784,0.014141441958309428,0.45905884506687716,0.014405058573733271,0.021305887988968136,0.0330431469467614,0.008367627612607533,0.004463317138015933,0.07866609687504741,0.041872354172850276,0.08148506847904438,0.08432098845444536,0.0065202995130705975,0.03429515538752487,0.09147675831531255,0.0157645968489342,0.09683163422922458,0.009578828133045,0.002699124703943981,0.005586757285552467,0.161594724949412,0.1955371123426201
LateAD-DAM,0.2529136577708006,0.08513044187769463,0.0009015819345489676,0.10646075692427094,0.09297176092728003,0.09130884130557725,0.10495151243238193,0.14891493802772,0.12605519422951747,0.08603933276622948,0.17129584997868247,0.06329883881300885,0.009057879035901013,0.004188590059861645,0.008844590887918988,0.6506979028297709,0.004676074318146531,0.013504418180959031,0.04946334983697621,0.09290791120618437,0.00305874345434785,0.09070320570155806,0.033941912859818485,0.09060596546310833,0.05010483008116144,0.0028710956233719185,0.025239681581282834,0.11232604757879483,0.011145082546966377,0.032600410578432555,0.007291583142132593,0.001431839954916878,0.0021369399830938295,0.18279445061326596,0.21551346811719094
