state,E2F1(+),E2F2(+),E2F7(+),E2F8(+),ETV6(+),FOSL2(+),JUND(+),MYBL1(+),NFIB(+),PBX3(+),ZNF148(+)
DAM,0.014442604361038051,0.01574190876344159,0.018703432678441066,0.015602874129511009,0.0664953052185143,0.05665096103203094,0.0048526255028322795,0.007897515102661295,0.0163288302479271,0.0005737290657581479,0.2542171856860527
DAM-IRM,0.01558423295401323,0.01569124883358112,0.01853721305819909,0.016157364794195918,0.0675403349260497,0.05826468326966322,0.005948985873762217,0.008947846088617381,0.024461253699365727,0.0009222294166104487,0.24215868588501058
Homeostatic,0.0146149472163712,0.015518686784912,0.01924125561471238,0.016141466807020402,0.06677533302888547,0.08847022826863675,0.0061882563649141905,0.009981076658841225,0.02207274705842345,0.0010215148835838492,0.22775542167218948
IRM,0.01410930971540231,0.01553318015633779,0.019178156116993913,0.01540385308439066,0.06675070196272434,0.0672643001697443,0.005871082212916024,0.008661511100301734,0.018707244140768495,0.0006276663482967208,0.24432826371971306
LAM,0.013150317870672975,0.01428537096180331,0.01755097618628797,0.016268858330628255,0.06588938385850089,0.14234653164773647,0.00961888579960869,0.007095998494419766,0.019031901966841725,0.0008126866440119452,0.23698169451188306
LateAD-DAM,0.10704183959476037,0.08349005220410075,0.08241495378512469,0.08673517813697432,0.06773174044314303,0.050009488157054874,0.003540188383045526,0.1190293359539286,0.015330660548242966,0.00013983818379422776,0.2627887940787922
