k_cells_per_donor,mean_gap,gap_ci_lo,gap_ci_hi,frac_gap_positive,frac_lateaddam_top_state
1,0.030485059191200727,0.027045640267446387,0.033889845739669563,1.0,1.0
2,0.03047629521188459,0.027680330743736173,0.03297762642217502,1.0,1.0
3,0.03020014483192376,0.027917616851986692,0.032403822160496046,1.0,1.0
4,0.030318042844817192,0.028247802223656415,0.03238663352270261,1.0,1.0
