donor_dropped,n_cells_dropped,rho,delta_vs_base
H21.33.022,1693,0.3018280904094263,-0.007089212084376739
H21.33.003,1625,0.30532867725955243,-0.003588625234250631
H20.33.011,1696,0.3059914174982605,-0.0029258849955425825
H21.33.028,3083,0.3064499472183487,-0.002467355275454386
H20.33.025,2874,0.30649916906198615,-0.0024181334318169045
H20.33.018,1445,0.3068924177143604,-0.0020248847794426816
H21.33.004,1625,0.3071337934732938,-0.0017835090205092774
H20.33.017,2111,0.30723218598996316,-0.0016851165038399007
H21.33.006,636,0.30735400943772817,-0.0015632930560748881
H20.33.029,2002,0.30735667535524736,-0.0015606271385557036
H20.33.040,2481,0.3074351302466282,-0.00148217224717484
H20.33.005,1265,0.30754299120301354,-0.0013743112907895205
H21.33.042,720,0.3075538129024794,-0.0013634895913236522
H20.33.024,275,0.30755988885935276,-0.0013574136344502996
H21.33.031,776,0.3075710840840886,-0.0013462184097144392
H19.33.004,1181,0.3076606068566456,-0.0012566956371574678
H20.33.016,1859,0.3076713984545415,-0.0012459040392615583
H20.33.002,744,0.3076866537704416,-0.0012306487233614827
H20.33.019,1569,0.3078601538051667,-0.001057148688636378
H21.33.043,609,0.3078809880663146,-0.0010363144274884717
H21.33.029,987,0.30792951716647904,-0.00098778532732402
H21.33.015,1222,0.3079356289345699,-0.000981673559233176
H21.33.025,1111,0.30807443739611823,-0.0008428650976848306
H21.33.017,1050,0.3081491809836725,-0.0007681215101305594
H20.33.020,2725,0.3082130681260022,-0.0007042343678008711
H21.33.040,389,0.3082237435721294,-0.0006935589216736648
H21.33.033,1454,0.3082499584792689,-0.0006673440145341658
H20.33.032,963,0.30825976630430946,-0.0006575361894936016
H21.33.005,547,0.30828316654059046,-0.0006341359532126001
H21.33.007,548,0.30834163967101164,-0.0005756628227914229
H21.33.016,599,0.3084519099627016,-0.0004653925311014495
H20.33.001,1974,0.3084768856578515,-0.00044041683595158476
H20.33.008,2210,0.30849746065625094,-0.0004198418375521151
H21.33.011,883,0.3085259886263213,-0.00039131386748175734
H21.33.045,583,0.3085437826923284,-0.00037351980147465325
H21.33.020,167,0.30860654007757105,-0.0003107624162320133
H21.33.002,2026,0.30861315561006064,-0.0003041468837424177
H21.33.030,551,0.30863445825681346,-0.00028284423698959893
H21.33.010,612,0.3087122623512384,-0.00020504014256467196
H20.33.038,422,0.30874092514654156,-0.00017637734726150267
H20.33.034,306,0.3087710127965676,-0.0001462896972354577
H20.33.041,345,0.3088285319191203,-8.877057468276162e-05
H20.33.026,2126,0.30884012723888854,-7.717525491451882e-05
H20.33.035,1617,0.3088524053349225,-6.489715888058356e-05
H20.33.045,466,0.30886159783774,-5.57046560630825e-05
H21.33.034,269,0.30890185451514185,-1.5447978661209394e-05
H20.33.028,2366,0.3089687816186739,5.147912487085682e-05
H20.33.039,1646,0.308972026504088,5.472401028494556e-05
H20.33.012,1599,0.30898820133291033,7.089883910726957e-05
H21.33.019,1204,0.3090208420431293,0.00010353954932623699
H21.33.026,1766,0.3090385569768809,0.00012125448307781506
H20.33.031,1918,0.3090449639524215,0.00012766145861842215
H21.33.046,670,0.30905269408377367,0.00013539158997061262
H20.33.044,461,0.30911748153597196,0.00020017904216890203
H20.33.014,523,0.30916858773558403,0.0002512852417809741
H21.33.014,536,0.3091887247380114,0.0002714222442083414
H21.33.013,954,0.3092333439471713,0.000316041453368221
H21.33.041,421,0.3092662745910036,0.00034897209720052835
H21.33.008,730,0.3092930808223361,0.0003757783285330274
H20.33.030,506,0.30936546016668853,0.00044815767288547415
H21.33.021,256,0.3094325032096165,0.0005152007158134575
H21.33.027,2484,0.309462417392638,0.0005451148988349641
H21.33.036,1268,0.3094691448463687,0.0005518423525656679
H21.33.012,587,0.3094817642259036,0.0005644617321005629
H21.33.044,698,0.30968045079980516,0.0007631483060021038
H21.33.039,770,0.30978243166083136,0.0008651291670283001
H21.33.032,1947,0.3098779839130123,0.0009606814192092417
H20.33.043,710,0.3099212384121844,0.0010039359183813268
H21.33.037,555,0.3099334243018662,0.0010161218080631529
H20.33.013,1360,0.30995188613479935,0.0010345836409962894
H20.33.046,1465,0.31000119412240096,0.0010838916285978994
H20.33.037,458,0.31003880250432614,0.00112150001052308
H21.33.038,1333,0.3101586085990111,0.001241306105208062
H20.33.036,908,0.3102053668469933,0.0012880643531902325
H20.33.004,609,0.31022190873804195,0.0013046062442388928
H21.33.018,2014,0.31029213816882073,0.0013748356750176716
H20.33.033,1689,0.3103805952097421,0.0014632927159390352
H21.33.023,1039,0.3104455343258036,0.001528231832000515
H21.33.009,191,0.3106082410382641,0.0016909385444610625
H21.33.047,474,0.3106884939468741,0.0017711914530710304
H20.33.015,2367,0.31119483258475017,0.002277530090947111
H21.33.035,1764,0.3118341612726904,0.0029168587788873657
H20.33.027,1205,0.3125479642865264,0.0036306617927233664
H21.33.001,2128,0.32668558133014014,0.01776827883633708
