names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group,contrast,abs_logfc
SLC2A3,29.463957,3.2149322,8.341794714691752e-191,4.125919302059903e-188,0.6661007357102433,Micro-PVM_4-SEAAD,LAM_vs_Homeostatic,3.2149322
MRC2,9.762698,3.206887,1.6276649932904387e-22,5.668331724017445e-21,0.17260894170911148,Micro-PVM_4-SEAAD,LAM_vs_Homeostatic,3.206887
KCNQ3,35.260628,3.194703,2.358196627317582e-272,2.2131373014474567e-269,0.8358800226372383,Micro-PVM_4-SEAAD,LAM_vs_Homeostatic,3.194703
SGK1,32.037136,3.1891906,3.316530612649166e-225,2.092902361268485e-222,0.7028862478777589,Micro-PVM_4-SEAAD,LAM_vs_Homeostatic,3.1891906
ELL2,41.837124,3.1503663,0.0,0.0,0.9524617996604414,Micro-PVM_4-SEAAD,LAM_vs_Homeostatic,3.1503663
SYTL3,29.08741,3.0581362,5.180212266174716e-186,2.4307813994136e-183,0.6644029428409735,Micro-PVM_4-SEAAD,LAM_vs_Homeostatic,3.0581362
VEGFA,24.306938,3.0471323,1.655693816912526e-130,4.423361269548567e-128,0.49349179400113186,Micro-PVM_4-SEAAD,LAM_vs_Homeostatic,3.0471323
RNASET2,43.425385,3.0359123,0.0,0.0,0.9224674589700057,Micro-PVM_4-SEAAD,LAM_vs_Homeostatic,3.0359123
FAM162A,22.653524,3.017708,1.2878709667743919e-113,2.8568100154490616e-111,0.4533106960950764,Micro-PVM_4-SEAAD,LAM_vs_Homeostatic,3.017708
SYNDIG1,21.57077,3.0143855,3.3801189935360706e-103,6.410141724477395e-101,0.4493491794001132,Micro-PVM_4-SEAAD,LAM_vs_Homeostatic,3.0143855
CD9,17.469988,2.977061,2.425440797094009e-68,2.6578909764801745e-66,0.3355970571590266,Micro-PVM_4-SEAAD,LAM_vs_Homeostatic,2.977061
