names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group,contrast
DPYD,64.83172,1.3897965,0.0,0.0,0.8629051913234219,4/4,APOE4_vs_APOE3_allMicroglia
MSR1,42.73915,1.0002339,0.0,0.0,0.7057031440409457,4/4,APOE4_vs_APOE3_allMicroglia
ACSL1,41.16736,0.8699368,0.0,0.0,0.7827199610041433,4/4,APOE4_vs_APOE3_allMicroglia
PDE4B,40.01896,0.92742455,0.0,0.0,0.7344016573239094,4/4,APOE4_vs_APOE3_allMicroglia
SPP1,38.408726,0.948182,0.0,0.0,0.8095905435047526,4/4,APOE4_vs_APOE3_allMicroglia
AC011586.2,38.09836,2.718554,0.0,0.0,0.24427248354862297,4/4,APOE4_vs_APOE3_allMicroglia
CTSB,38.062714,0.56666934,0.0,0.0,0.8643066049232269,4/4,APOE4_vs_APOE3_allMicroglia
PLCG2,33.86045,0.47975084,2.5469092324693374e-251,4.237246582618646e-248,0.9266999756275895,4/4,APOE4_vs_APOE3_allMicroglia
ZNF292,31.631495,0.51362574,1.3627076221776865e-219,1.7813022028330537e-216,0.7989276139410187,4/4,APOE4_vs_APOE3_allMicroglia
ARHGAP24,30.878284,0.26877853,2.337731430281887e-209,2.9504588993016327e-206,0.9865951742627346,4/4,APOE4_vs_APOE3_allMicroglia
SLC11A1,30.517776,0.72417444,1.5140987798177819e-204,1.7876622400035688e-201,0.7211186936388009,4/4,APOE4_vs_APOE3_allMicroglia
PADI2,30.236582,0.77996665,7.832309098452485e-201,8.958448291014357e-198,0.6322812576163782,4/4,APOE4_vs_APOE3_allMicroglia
PTK2B,28.860739,0.72606117,3.7154157535029437e-183,3.486870051127211e-180,0.5695832317816232,4/4,APOE4_vs_APOE3_allMicroglia
BNIP3L,28.858957,0.75127435,3.911582462546757e-183,3.5791957427918463e-180,0.574396782841823,4/4,APOE4_vs_APOE3_allMicroglia
DIRC3,28.824348,1.2498257,1.0626150386050754e-182,9.486042201947406e-180,0.34688033146478187,4/4,APOE4_vs_APOE3_allMicroglia
KANSL1,28.675129,0.30393943,7.7939635852463e-181,6.792068123419043e-178,0.8890446015110894,4/4,APOE4_vs_APOE3_allMicroglia
MT-ND4,28.541204,0.71606237,3.611706067786066e-179,3.074233809000879e-176,0.7512186205215696,4/4,APOE4_vs_APOE3_allMicroglia
FAM110B,28.338802,0.9801841,1.1501216602876097e-176,9.567182474587909e-174,0.4190226663417012,4/4,APOE4_vs_APOE3_allMicroglia
RBPJ,28.274075,0.5726569,7.201724423769225e-176,5.8575625696528304e-173,0.7356812088715574,4/4,APOE4_vs_APOE3_allMicroglia
CD163,27.984907,0.91958475,2.4803831480551413e-172,1.931585183020558e-169,0.5106019985376554,4/4,APOE4_vs_APOE3_allMicroglia
AC007262.2,27.75319,0.7871841,1.594711004195621e-169,1.2160003638450816e-166,0.5506336826712162,4/4,APOE4_vs_APOE3_allMicroglia
LRRK2,27.431879,0.66738844,1.1430500357684796e-165,8.367354871832425e-163,0.6380087740677552,4/4,APOE4_vs_APOE3_allMicroglia
FAM118A,27.273743,0.9363474,8.691719061388168e-164,6.002369988035252e-161,0.37783329271264926,4/4,APOE4_vs_APOE3_allMicroglia
PGK1,27.13101,0.7923685,4.242236418225392e-162,2.823092638972138e-159,0.47501827930782353,4/4,APOE4_vs_APOE3_allMicroglia
UBXN2B,27.09934,0.71436894,1.0024421312743374e-161,6.436909552065267e-159,0.5553253716792591,4/4,APOE4_vs_APOE3_allMicroglia
SRGN,27.094616,0.7230561,1.1395027594336372e-161,7.190851810005269e-159,0.626919327321472,4/4,APOE4_vs_APOE3_allMicroglia
FOXP1,26.739035,0.4263741,1.6562632024513498e-157,1.0103481578820309e-154,0.8485864001949793,4/4,APOE4_vs_APOE3_allMicroglia
TBC1D8,26.420261,0.74317026,8.017818982041252e-154,4.7332289122853524e-151,0.5387521325859127,4/4,APOE4_vs_APOE3_allMicroglia
IMMP2L,26.303007,0.53446525,1.7716626015315742e-152,9.824942860402597e-150,0.8437119181087009,4/4,APOE4_vs_APOE3_allMicroglia
ARHGAP26,25.870296,0.20712696,1.4383945682627405e-147,7.520954227569223e-145,0.9777601754813551,4/4,APOE4_vs_APOE3_allMicroglia
LINC00278,25.831673,1.1034575,3.9096701975469823e-147,2.0154625197241846e-144,0.3300633682671216,4/4,APOE4_vs_APOE3_allMicroglia
NAMPT,25.440311,1.0648028,9.03650762741266e-143,4.530756379053846e-140,0.3502924689251767,4/4,APOE4_vs_APOE3_allMicroglia
MALAT1,25.292349,0.16100724,3.8775305433469246e-141,1.892286605560544e-138,0.9998781379478431,4/4,APOE4_vs_APOE3_allMicroglia
CPA6,25.108147,1.2847828,4.052188998200552e-139,1.9014637118351077e-136,0.2557884474774555,4/4,APOE4_vs_APOE3_allMicroglia
TBC1D14,24.9291,0.4874464,3.5992315676890855e-137,1.646693432612353e-134,0.7671825493541311,4/4,APOE4_vs_APOE3_allMicroglia
PTPN2,24.923195,0.5228373,4.1708547676398637e-137,1.884659942597366e-134,0.7184377284913478,4/4,APOE4_vs_APOE3_allMicroglia
MT-CO2,24.797617,0.59315956,9.511473725324183e-136,4.245481095373054e-133,0.7839385815257129,4/4,APOE4_vs_APOE3_allMicroglia
UTY,24.778912,0.9254194,1.5134148513301577e-135,6.6737948160885666e-133,0.36650012186205216,4/4,APOE4_vs_APOE3_allMicroglia
HIST1H2AC,24.764397,0.6535384,2.1694576986270655e-135,9.452895384220146e-133,0.5935291250304655,4/4,APOE4_vs_APOE3_allMicroglia
MT-ATP6,24.376373,0.6299317,3.045898053691101e-131,1.2814128122200918e-128,0.7454911040701926,4/4,APOE4_vs_APOE3_allMicroglia
ELL2,24.352407,0.4989562,5.466677410245229e-131,2.2481557291279282e-128,0.7780282719961004,4/4,APOE4_vs_APOE3_allMicroglia
RGS1,24.235903,0.78314954,9.311481146987927e-130,3.7044513202272296e-127,0.5065196197903973,4/4,APOE4_vs_APOE3_allMicroglia
SLC7A5,24.13182,0.9983228,1.158882540886948e-128,4.5123680722343806e-126,0.3102607847916159,4/4,APOE4_vs_APOE3_allMicroglia
PLSCR1,23.924156,0.5442911,1.71719534682542e-126,6.546986134287207e-124,0.6323421886424567,4/4,APOE4_vs_APOE3_allMicroglia
TNFRSF1B,23.742456,0.50900775,1.31470734310104e-124,4.960783862354759e-122,0.6587862539605167,4/4,APOE4_vs_APOE3_allMicroglia
