names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group,contrast
DPYD,58.661095,1.7662687,0.0,0.0,0.7508068734133616,BraakHighV_VI,DAM_BraakHigh_vs_Low
XIST,58.61321,2.41909,0.0,0.0,0.5985150977815765,BraakHighV_VI,DAM_BraakHigh_vs_Low
RNF150,45.788452,1.2400608,0.0,0.0,0.6840117873681256,BraakHighV_VI,DAM_BraakHigh_vs_Low
FOXP1,41.886536,0.8707275,0.0,0.0,0.8508974473459286,BraakHighV_VI,DAM_BraakHigh_vs_Low
FRMD4B,31.290981,0.66845214,6.189919409541427e-215,8.391008900319473e-212,0.7899577746877751,BraakHighV_VI,DAM_BraakHigh_vs_Low
DOCK5,28.766178,0.795114,5.684665946895443e-182,5.623363738441085e-179,0.6380359489214048,BraakHighV_VI,DAM_BraakHigh_vs_Low
FKBP5,28.258617,0.6434934,1.1153895804076777e-175,1.0467788213461901e-172,0.9653650384620291,BraakHighV_VI,DAM_BraakHigh_vs_Low
AL035446.2,27.754818,1.9892513,1.5241326928034445e-169,1.3282090640309255e-166,0.22338593425097908,BraakHighV_VI,DAM_BraakHigh_vs_Low
MALAT1,27.392744,0.19859928,3.346605626211235e-165,2.848584012208312e-162,0.9999617293242674,BraakHighV_VI,DAM_BraakHigh_vs_Low
CSGALNACT1,26.102625,0.36597788,3.404039385092408e-150,2.442965598701318e-147,0.9277832348926508,BraakHighV_VI,DAM_BraakHigh_vs_Low
ZBTB16,26.0396,0.7256477,1.7645358337783888e-149,1.2185618123042039e-146,0.6634731913916493,BraakHighV_VI,DAM_BraakHigh_vs_Low
DDX5,25.49561,0.39841565,2.2051594544923963e-143,1.4159831788399333e-140,0.8573141639770886,BraakHighV_VI,DAM_BraakHigh_vs_Low
HSPA1A,25.281559,1.018339,5.095982608480424e-141,3.008355797628903e-138,0.4041383357358813,BraakHighV_VI,DAM_BraakHigh_vs_Low
NRP1,23.377928,0.83315694,7.167965948846475e-121,3.452035811759603e-118,0.4345380091594484,BraakHighV_VI,DAM_BraakHigh_vs_Low
NHSL1,23.247593,0.6679536,1.5045450269186328e-119,7.059981093621651e-117,0.682927451555703,BraakHighV_VI,DAM_BraakHigh_vs_Low
HSP90AA1,21.856272,0.61052585,6.775890995037098e-106,2.6667138312833635e-103,0.5617242215106711,BraakHighV_VI,DAM_BraakHigh_vs_Low
OSBPL3,21.416468,0.46235695,9.384153298193509e-102,3.6154673143913748e-99,0.7329854954138973,BraakHighV_VI,DAM_BraakHigh_vs_Low
MT-CO2,21.07695,0.56643766,1.2946060656758124e-98,4.835089449979634e-96,0.7316205079794359,BraakHighV_VI,DAM_BraakHigh_vs_Low
CCND3,20.838995,0.46866918,1.918209354547592e-96,7.020838058579641e-94,0.7587033895061807,BraakHighV_VI,DAM_BraakHigh_vs_Low
MS4A7,20.81681,0.54238987,3.0480974814505376e-96,1.1045882764214962e-93,0.547155850948475,BraakHighV_VI,DAM_BraakHigh_vs_Low
HSPA1B,20.475197,1.0222915,3.5829795112915025e-93,1.22561339339047e-90,0.2759188151398793,BraakHighV_VI,DAM_BraakHigh_vs_Low
DPYD-AS1,20.285555,1.4678755,1.725086248244479e-91,5.792649703852861e-89,0.19614997002130402,BraakHighV_VI,DAM_BraakHigh_vs_Low
ACSL1,20.013233,0.47942913,4.223534009080366e-89,1.380228288092415e-86,0.6617127403079514,BraakHighV_VI,DAM_BraakHigh_vs_Low
