chembl_id,vina_score_kcal_mol
CHEMBL490,-9.819
CHEMBL1108,-9.443
CHEMBL623,-9.296
CHEMBL596,-9.237
CHEMBL6437,-9.133
CHEMBL282052,-9.121
CHEMBL54,-9.02
CHEMBL85,-8.883
CHEMBL14370,-8.855
CHEMBL898,-8.766
CHEMBL1201203,-8.729
CHEMBL654,-8.706
CHEMBL439849,-8.678
CHEMBL1256841,-8.659
CHEMBL278819,-8.572
CHEMBL1510,-8.479
CHEMBL3187365,-8.452
CHEMBL3039520,-8.389
CHEMBL255044,-8.346
CHEMBL1101,-8.29
CHEMBL2103837,-8.284
CHEMBL1621,-8.27
CHEMBL396778,-8.265
CHEMBL1201193,-8.249
CHEMBL41355,-8.246
CHEMBL2105760,-8.238
CHEMBL12713,-8.234
CHEMBL1201347,-8.217
CHEMBL108,-8.213
CHEMBL3306803,-8.205
CHEMBL41,-8.204
CHEMBL294199,-8.175
CHEMBL1098,-8.158
CHEMBL2104993,-8.125
CHEMBL1089318,-8.115
CHEMBL621,-8.074
CHEMBL53,-8.061
CHEMBL1201217,-8.051
CHEMBL502,-8.036
CHEMBL21731,-8.028
CHEMBL1983350,-8.021
CHEMBL14376,-8.008
CHEMBL641,-7.987
CHEMBL1077896,-7.985
CHEMBL2111101,-7.942
CHEMBL86715,-7.922
CHEMBL708,-7.914
CHEMBL285674,-7.9
CHEMBL1113,-7.893
CHEMBL1324,-7.826
CHEMBL1279,-7.826
CHEMBL1175,-7.805
CHEMBL462605,-7.801
CHEMBL1303,-7.791
CHEMBL1278,-7.766
CHEMBL1218,-7.744
CHEMBL750,-7.737
CHEMBL1201168,-7.733
CHEMBL16,-7.73
CHEMBL905,-7.714
CHEMBL370805,-7.7
CHEMBL1490,-7.69
CHEMBL2107726,-7.66
CHEMBL28318,-7.63
CHEMBL10878,-7.627
CHEMBL146095,-7.609
CHEMBL95,-7.603
CHEMBL1201754,-7.6
CHEMBL1112,-7.598
CHEMBL1087,-7.592
CHEMBL54976,-7.57
CHEMBL85231,-7.563
CHEMBL1086,-7.552
CHEMBL284092,-7.543
CHEMBL2103822,-7.543
CHEMBL1521,-7.542
CHEMBL1201192,-7.524
CHEMBL86304,-7.472
CHEMBL568,-7.438
CHEMBL1201210,-7.422
CHEMBL4297620,-7.402
CHEMBL45,-7.38
CHEMBL589,-7.371
CHEMBL1508,-7.37
CHEMBL796,-7.37
CHEMBL460,-7.369
CHEMBL273575,-7.365
CHEMBL1628227,-7.358
CHEMBL894,-7.355
CHEMBL1373,-7.346
CHEMBL1505,-7.344
CHEMBL918,-7.339
CHEMBL243712,-7.338
CHEMBL7728,-7.332
CHEMBL972,-7.319
CHEMBL58323,-7.305
CHEMBL1185,-7.297
CHEMBL254857,-7.294
CHEMBL661,-7.28
CHEMBL741,-7.269
CHEMBL1697856,-7.257
CHEMBL681,-7.256
CHEMBL655,-7.229
CHEMBL252556,-7.226
CHEMBL569713,-7.226
CHEMBL1568698,-7.191
CHEMBL1237044,-7.177
CHEMBL636,-7.156
CHEMBL549,-7.13
CHEMBL4297590,-7.122
CHEMBL492,-7.12
