chembl_id,vina_score,cnn_score,cnn_affinity
CHEMBL1086,-6.001,0.8047,5.551
CHEMBL1201168,-6.143,0.7665,3.997
CHEMBL285674,-5.952,0.7326,5.287
CHEMBL982,-6.041,0.7154,4.651
CHEMBL1256841,-6.33,0.6884,4.268
CHEMBL53,-6.149,0.6819,3.962
CHEMBL70,-6.054,0.6806,4.099
CHEMBL1568698,-6.058,0.6791,4.792
CHEMBL661,-6.037,0.674,4.893
CHEMBL207538,-6.417,0.6733,4.669
CHEMBL398707,-6.132,0.6598,4.238
CHEMBL33986,-6.096,0.6575,4.777
CHEMBL117785,-5.979,0.6558,5.091
CHEMBL1214124,-5.994,0.6494,5.461
CHEMBL19019,-6.192,0.6402,4.497
CHEMBL2103837,-6.25,0.6353,4.649
CHEMBL52440,-5.976,0.6272,4.38
CHEMBL146095,-6.166,0.6074,5.073
CHEMBL1089318,-6.315,0.5897,5.312
CHEMBL490,-6.458,0.5887,4.758
CHEMBL14376,-7.058,0.5812,6.108
CHEMBL12713,-6.738,0.5719,5.649
CHEMBL621,-6.428,0.5713,4.752
CHEMBL49,-6.092,0.5448,4.715
CHEMBL254857,-6.382,0.536,4.781
CHEMBL1112,-6.388,0.5242,5.692
CHEMBL439849,-6.755,0.4725,5.925
CHEMBL1237021,-6.659,0.4476,5.514
CHEMBL2105760,-6.798,0.433,5.773
