chembl_id,vina_score_kcal_mol
CHEMBL1077896,-3.398
CHEMBL1093,-3.393
CHEMBL12,-3.386
CHEMBL278020,-3.37
CHEMBL7863,-3.359
CHEMBL99946,-3.358
CHEMBL681,-3.35
CHEMBL1515611,-3.335
CHEMBL550,-3.32
CHEMBL168815,-3.308
CHEMBL2105233,-3.307
CHEMBL3,-3.282
CHEMBL450,-3.245
CHEMBL1059,-3.225
CHEMBL940,-3.211
CHEMBL197084,-3.189
CHEMBL1200694,-3.188
CHEMBL1115,-3.167
CHEMBL445,-3.161
CHEMBL979,-3.154
CHEMBL113,-3.148
CHEMBL629,-3.143
CHEMBL607400,-3.127
CHEMBL11,-3.119
CHEMBL1257,-3.11
CHEMBL1201293,-3.078
CHEMBL1068,-3.071
CHEMBL1286,-3.066
CHEMBL72,-3.029
CHEMBL1685,-3.028
CHEMBL1100,-2.98
CHEMBL1200733,-2.903
CHEMBL644,-2.849
CHEMBL1256,-2.82
CHEMBL415,-2.804
CHEMBL1341,-2.75
CHEMBL964,-2.716
CHEMBL468837,-2.659
CHEMBL931,-2.622
CHEMBL1482,-2.497
