chembl_id,vina_score_kcal_mol
CHEMBL447,-4.811
CHEMBL1201776,-4.798
CHEMBL1179047,-4.767
CHEMBL134,-4.765
CHEMBL807,-4.742
CHEMBL415,-4.736
CHEMBL301265,-4.693
CHEMBL72,-4.692
CHEMBL607400,-4.674
CHEMBL1093,-4.658
CHEMBL644,-4.652
CHEMBL526,-4.616
CHEMBL2105233,-4.598
CHEMBL968,-4.573
CHEMBL441,-4.554
CHEMBL16073,-4.534
CHEMBL1200790,-4.529
CHEMBL1515611,-4.519
CHEMBL468837,-4.486
CHEMBL1200922,-4.485
CHEMBL1200802,-4.449
CHEMBL450,-4.446
CHEMBL11,-4.436
CHEMBL168815,-4.426
CHEMBL660,-4.421
CHEMBL113,-4.414
CHEMBL7863,-4.41
CHEMBL1685,-4.359
CHEMBL112,-4.343
CHEMBL25,-4.283
CHEMBL3,-4.192
CHEMBL1115,-4.187
CHEMBL940,-4.133
CHEMBL964,-4.105
CHEMBL1286,-4.093
CHEMBL979,-4.084
CHEMBL1200694,-3.99
CHEMBL1100,-3.985
CHEMBL1059,-3.96
CHEMBL1201293,-3.954
CHEMBL1256,-3.822
CHEMBL1200733,-3.816
CHEMBL1257,-3.773
CHEMBL1482,-3.492
CHEMBL1341,-3.387
CHEMBL931,-3.181
