chembl_id,vina_score_kcal_mol
CHEMBL197084,-4.086
CHEMBL526,-4.082
CHEMBL1118,-4.058
CHEMBL134,-4.028
CHEMBL629,-4.015
CHEMBL415,-3.972
CHEMBL651,-3.937
CHEMBL1201776,-3.918
CHEMBL448,-3.905
CHEMBL644,-3.879
CHEMBL113,-3.872
CHEMBL7863,-3.838
CHEMBL445,-3.826
CHEMBL1341,-3.781
CHEMBL447,-3.768
CHEMBL99946,-3.759
CHEMBL1200802,-3.75
CHEMBL72,-3.735
CHEMBL450,-3.713
CHEMBL11,-3.695
CHEMBL1200790,-3.663
CHEMBL964,-3.639
CHEMBL1514,-3.596
CHEMBL931,-3.565
CHEMBL168815,-3.56
CHEMBL70418,-3.552
CHEMBL468837,-3.443
CHEMBL1482,-3.328
CHEMBL1685,-3.304
