chembl_id,vina_score_kcal_mol
CHEMBL14376,-7.058
CHEMBL85,-7.008
CHEMBL3039520,-7.002
CHEMBL2105760,-6.798
CHEMBL439849,-6.755
CHEMBL12713,-6.738
CHEMBL1237021,-6.659
CHEMBL623,-6.584
CHEMBL1108,-6.461
CHEMBL490,-6.458
CHEMBL621,-6.428
CHEMBL207538,-6.417
CHEMBL1112,-6.388
CHEMBL254857,-6.382
CHEMBL4105630,-6.371
CHEMBL1256841,-6.33
CHEMBL1621,-6.328
CHEMBL502,-6.323
CHEMBL1089318,-6.315
CHEMBL54,-6.282
CHEMBL2103837,-6.25
CHEMBL19019,-6.192
CHEMBL708,-6.178
CHEMBL146095,-6.166
CHEMBL53,-6.149
CHEMBL1201168,-6.143
CHEMBL398707,-6.132
CHEMBL33986,-6.096
CHEMBL49,-6.092
CHEMBL1568698,-6.058
CHEMBL70,-6.054
CHEMBL982,-6.041
CHEMBL661,-6.037
CHEMBL1086,-6.001
CHEMBL1214124,-5.994
CHEMBL117785,-5.979
CHEMBL52440,-5.976
CHEMBL285674,-5.952
CHEMBL1595,-5.944
CHEMBL243712,-5.943
CHEMBL2103822,-5.932
CHEMBL2028019,-5.924
CHEMBL814,-5.918
CHEMBL895,-5.917
CHEMBL485,-5.904
CHEMBL41,-5.902
CHEMBL3137326,-5.892
CHEMBL278819,-5.883
CHEMBL656,-5.879
CHEMBL21731,-5.876
CHEMBL898,-5.867
CHEMBL2105581,-5.854
CHEMBL32479,-5.854
CHEMBL654,-5.85
CHEMBL1279,-5.846
CHEMBL1077896,-5.831
CHEMBL284092,-5.828
CHEMBL3187365,-5.818
CHEMBL294199,-5.812
CHEMBL135400,-5.805
CHEMBL108,-5.797
CHEMBL1076903,-5.788
CHEMBL911,-5.787
CHEMBL3306803,-5.785
CHEMBL86304,-5.782
CHEMBL16,-5.777
CHEMBL396778,-5.776
CHEMBL963,-5.774
CHEMBL1522,-5.766
CHEMBL40,-5.766
CHEMBL2107726,-5.759
CHEMBL6437,-5.751
CHEMBL3545367,-5.75
CHEMBL268164,-5.732
CHEMBL856,-5.729
CHEMBL569713,-5.697
