chembl_id,vina_score_kcal_mol
CHEMBL439849,-6.477
CHEMBL3306803,-6.411
CHEMBL1621,-6.268
CHEMBL85,-6.198
CHEMBL1237021,-6.011
CHEMBL4105630,-5.973
CHEMBL1108,-5.938
CHEMBL53,-5.828
CHEMBL12713,-5.825
CHEMBL911,-5.822
CHEMBL502,-5.8
CHEMBL708,-5.791
CHEMBL1089318,-5.791
CHEMBL1065,-5.764
CHEMBL14376,-5.76
CHEMBL898,-5.725
CHEMBL4297526,-5.721
CHEMBL254857,-5.669
CHEMBL16,-5.658
CHEMBL54,-5.648
CHEMBL2111101,-5.64
CHEMBL1201347,-5.6
CHEMBL1214124,-5.579
CHEMBL396778,-5.549
CHEMBL1201087,-5.543
CHEMBL1508,-5.535
CHEMBL3039520,-5.53
CHEMBL3545367,-5.53
CHEMBL2105760,-5.496
CHEMBL1112,-5.489
CHEMBL490,-5.487
CHEMBL4297590,-5.448
CHEMBL1522,-5.437
CHEMBL422,-5.433
CHEMBL1256841,-5.429
CHEMBL135400,-5.428
CHEMBL661,-5.427
CHEMBL19019,-5.424
CHEMBL285674,-5.396
CHEMBL1324,-5.373
CHEMBL655,-5.368
CHEMBL646,-5.361
CHEMBL220492,-5.357
CHEMBL1568698,-5.357
CHEMBL2103837,-5.318
CHEMBL549,-5.299
CHEMBL2443262,-5.292
CHEMBL1201222,-5.283
CHEMBL100116,-5.26
CHEMBL70,-5.259
CHEMBL42,-5.247
CHEMBL1490,-5.247
CHEMBL2028019,-5.234
CHEMBL255044,-5.221
CHEMBL621,-5.218
CHEMBL656,-5.212
CHEMBL32479,-5.202
CHEMBL596,-5.198
CHEMBL197084,-5.192
CHEMBL728,-5.177
CHEMBL282052,-5.176
CHEMBL1521,-5.173
CHEMBL2364639,-5.17
CHEMBL716,-5.165
CHEMBL1113,-5.163
CHEMBL726,-5.158
CHEMBL1279,-5.145
CHEMBL41,-5.144
CHEMBL1201,-5.143
CHEMBL1201168,-5.142
CHEMBL1101,-5.136
CHEMBL982,-5.131
CHEMBL86715,-5.131
CHEMBL668,-5.129
CHEMBL1201203,-5.125
CHEMBL488093,-5.124
CHEMBL431770,-5.1
CHEMBL623,-5.095
CHEMBL831,-5.093
CHEMBL54976,-5.081
CHEMBL49,-5.076
CHEMBL2104993,-5.067
CHEMBL1628227,-5.066
CHEMBL398707,-5.043
CHEMBL273575,-5.04
CHEMBL146095,-5.039
CHEMBL7728,-5.039
CHEMBL963,-5.023
CHEMBL284092,-5.019
CHEMBL460,-5.014
CHEMBL485,-5.007
CHEMBL569713,-5.006
CHEMBL207538,-4.999
CHEMBL41355,-4.983
CHEMBL278819,-4.972
CHEMBL1303,-4.963
CHEMBL895,-4.936
CHEMBL715,-4.933
CHEMBL1595,-4.925
CHEMBL511142,-4.924
CHEMBL861,-4.914
CHEMBL1085,-4.899
CHEMBL6437,-4.892
CHEMBL2107726,-4.883
CHEMBL1088,-4.883
CHEMBL654,-4.881
CHEMBL1185,-4.848
CHEMBL294199,-4.843
CHEMBL52440,-4.84
CHEMBL45,-4.833
CHEMBL1201217,-4.829
CHEMBL1278,-4.822
CHEMBL637,-4.817
CHEMBL14370,-4.817
CHEMBL2103822,-4.814
CHEMBL370805,-4.813
CHEMBL108,-4.809
CHEMBL40,-4.801
CHEMBL33986,-4.798
CHEMBL1218,-4.771
CHEMBL1094,-4.759
CHEMBL37744,-4.74
CHEMBL1373,-4.739
CHEMBL86304,-4.736
CHEMBL1102,-4.734
CHEMBL1201192,-4.733
CHEMBL741,-4.731
CHEMBL641,-4.729
CHEMBL1201210,-4.726
CHEMBL3187365,-4.72
CHEMBL243712,-4.717
CHEMBL567,-4.713
CHEMBL1009,-4.703
CHEMBL1201754,-4.7
CHEMBL697,-4.7
CHEMBL1697856,-4.697
CHEMBL1510,-4.691
CHEMBL2105581,-4.69
CHEMBL268164,-4.689
CHEMBL1086,-4.673
CHEMBL3137326,-4.672
CHEMBL796,-4.67
CHEMBL1983350,-4.658
CHEMBL3989949,-4.65
CHEMBL896,-4.645
CHEMBL21731,-4.644
CHEMBL1098,-4.621
CHEMBL1077896,-4.61
CHEMBL117785,-4.607
CHEMBL1201193,-4.6
CHEMBL1087,-4.597
CHEMBL462605,-4.595
CHEMBL953,-4.581
CHEMBL531,-4.574
CHEMBL71,-4.558
CHEMBL1076903,-4.547
CHEMBL10878,-4.543
CHEMBL634,-4.54
CHEMBL970,-4.533
CHEMBL503565,-4.533
CHEMBL797,-4.528
CHEMBL95,-4.521
CHEMBL1175,-4.519
CHEMBL1505,-4.518
CHEMBL58323,-4.517
CHEMBL918,-4.496
CHEMBL778,-4.489
CHEMBL1442422,-4.488
CHEMBL2105345,-4.472
CHEMBL1093,-4.467
CHEMBL13280,-4.459
CHEMBL28318,-4.458
CHEMBL452,-4.456
CHEMBL18116,-4.454
CHEMBL856,-4.445
CHEMBL1177,-4.431
CHEMBL569,-4.43
CHEMBL658,-4.422
CHEMBL905,-4.414
CHEMBL252556,-4.4
CHEMBL1059,-4.399
CHEMBL1213351,-4.387
CHEMBL447,-4.384
