subclust,mean,median,size
m1,0.10104972616452601,0.09854297140569045,78
m2,0.1644778653427754,0.16272602471358635,104
m3,0.16815953790195062,0.17212351876015825,163
m4,0.12187496821286442,0.12320013685745561,38
m5,0.14384371473699709,0.1422218704862721,66
